batch class_loss class_acc conf_loss conf
0 1.2046 59.38 0.4662 60.97
10 0.9941 62.50 0.4829 60.80
20 1.3021 56.25 0.6259 63.06
30 1.0920 62.50 0.4912 61.09
40 1.2861 53.12 0.7806 63.82
50 1.3238 53.12 0.3887 61.58
60 1.1714 53.12 0.5920 64.01
70 1.1039 62.50 0.5312 63.99
80 1.0232 71.88 0.4159 65.84
90 1.2535 62.50 0.5815 59.60
100 1.3265 56.25 0.5045 64.16
110 0.9717 59.38 0.5643 65.09
120 1.6539 50.00 0.6664 62.20
130 0.8891 71.88 0.4968 58.21
140 0.8926 68.75 0.4703 58.73
150 1.2926 59.38 0.5003 58.97
160 0.9041 71.88 0.4331 66.72
170 1.2794 56.25 0.4479 66.02
180 1.0202 65.62 0.4255 66.89
190 1.4256 53.12 0.5805 68.40
200 1.0019 62.50 0.4266 60.02
210 1.2117 65.62 0.5568 65.58
220 1.1216 62.50 0.5444 67.76
230 0.7463 68.75 0.3737 68.45
240 0.5990 78.12 0.3406 70.57
250 1.3008 59.38 0.5994 64.40
260 1.1721 65.62 0.5285 62.80
270 1.1693 65.62 0.4940 59.54
280 1.1940 53.12 0.5085 64.14
290 1.4477 59.38 0.4063 63.44
300 1.6150 43.75 0.4852 59.36
310 1.2263 50.00 0.4478 59.42
320 1.3236 50.00 0.3886 59.34
330 1.0650 59.38 0.3673 65.89
340 1.2306 59.38 0.5470 64.15
350 1.2831 59.38 0.5992 60.38
360 0.9750 75.00 0.4910 62.07
370 1.4381 50.00 0.5493 63.37
380 1.0504 59.38 0.3673 62.06
390 1.2663 56.25 0.6258 65.53
400 1.3487 50.00 0.5388 63.93
410 1.4791 56.25 0.6095 63.51
420 1.0460 59.38 0.5476 60.51
430 1.0894 65.62 0.5617 60.33
440 0.9385 71.88 0.4845 62.35
450 1.1416 56.25 0.3540 63.05
460 0.8193 78.12 0.4307 63.90
470 0.8003 78.12 0.5076 65.20
480 1.5221 46.88 0.5591 61.91
490 0.9059 71.88 0.6011 61.20
500 0.9097 59.38 0.5337 63.90
510 1.1889 59.38 0.6272 61.27
520 0.8535 71.88 0.4164 61.15
530 1.1494 65.62 0.5218 58.91
540 1.2484 62.50 0.5042 64.71
550 1.0325 62.50 0.5218 66.78
560 0.9810 71.88 0.4290 65.31
570 0.8705 71.88 0.3327 66.98
580 1.4135 53.12 0.5711 63.06
590 0.8835 75.00 0.4615 63.36
600 0.7631 75.00 0.3588 62.72
610 0.8505 68.75 0.4525 63.67
620 1.0724 71.88 0.5576 64.59
630 0.8050 78.12 0.5815 65.84
640 1.2074 59.38 0.5444 64.03
650 1.0028 68.75 0.6031 64.39
660 0.9988 71.88 0.4519 62.83
670 1.0939 59.38 0.2314 62.81
680 1.4668 53.12 0.4459 67.06
690 1.2240 56.25 0.7801 66.94
700 1.1390 62.50 0.5488 63.35
710 0.9758 62.50 0.4983 62.59
720 1.4618 53.12 0.5130 62.30
730 1.1706 53.12 0.3715 60.93
740 1.1013 62.50 0.4900 67.57
750 1.4629 53.12 0.6535 70.95
760 1.0936 62.50 0.3784 65.93
770 1.0044 59.38 0.6504 65.79
780 0.9400 68.75 0.4921 61.41
790 1.0195 62.50 0.4271 57.58
800 0.8795 65.62 0.5077 64.25
810 0.9520 65.62 0.4635 64.17
820 1.1291 56.25 0.3851 63.29
830 1.0753 59.38 0.5210 63.11
840 0.8597 75.00 0.5048 65.58
850 1.6397 46.88 0.8131 65.22
860 0.9835 62.50 0.4538 59.75
870 0.8927 71.88 0.4089 63.94
880 1.2943 56.25 0.5378 59.38
890 1.1842 59.38 0.4468 60.35
900 0.8542 68.75 0.4007 60.08
910 1.0231 62.50 0.4806 65.27
920 1.3431 62.50 0.5477 67.22
930 1.1356 59.38 0.4955 65.05
940 1.2884 50.00 0.5539 60.50
950 0.9589 78.12 0.6237 55.44
960 1.4004 56.25 0.6808 57.90
970 1.2054 71.88 0.4730 61.50
980 1.4668 50.00 0.6064 67.79
990 1.2565 71.88 0.4412 63.26
1000 1.1687 56.25 0.5093 65.31
1010 1.4887 56.25 0.6218 69.30
1020 1.1362 62.50 0.4345 59.75
1030 1.4001 59.38 0.4029 61.02
1040 1.0322 65.62 0.4432 58.96
1050 1.4025 59.38 0.4275 59.65
1060 1.1521 56.25 0.4265 59.89
1070 1.4386 53.12 0.6141 66.58
1080 0.8106 75.00 0.3137 67.78
1090 0.7807 78.12 0.4742 65.40
1100 0.8627 75.00 0.4534 67.13
1110 0.8909 59.38 0.4362 61.33
1120 0.6742 75.00 0.3725 64.30
1130 0.9707 68.75 0.4941 62.69
1140 1.0648 65.62 0.4834 62.28
1150 1.1601 59.38 0.4667 62.15
1160 1.0394 68.75 0.4975 61.51
1170 1.2798 53.12 0.4660 67.03
1180 0.9596 68.75 0.4031 63.71
1190 1.1622 65.62 0.4794 65.12
1200 1.0029 62.50 0.4494 62.00
1210 1.2885 59.38 0.4890 62.49
1220 0.6947 81.25 0.4152 67.06
1230 1.0308 62.50 0.5654 68.74
1240 1.2752 59.38 0.5484 64.03
1250 1.2187 56.25 0.4699 62.97
1260 0.7217 68.75 0.4268 65.30
1270 1.2393 53.12 0.4942 59.75
1280 0.9261 62.50 0.3173 63.46
1290 0.7674 68.75 0.4693 67.16
1300 1.2197 59.38 0.4099 60.94
1310 0.9173 62.50 0.3703 65.22
1320 1.5124 50.00 0.4864 61.21
1330 1.1760 53.12 0.5612 62.53
1340 1.3639 50.00 0.4272 61.59
1350 0.9210 71.88 0.3862 64.27
1360 1.6718 43.75 0.7462 63.11
1370 1.2306 59.38 0.3900 59.96
1380 1.0884 71.88 0.5521 60.67
1390 1.0520 65.62 0.4160 62.09
1400 0.8662 75.00 0.4770 63.07
1410 0.9063 75.00 0.6301 62.80
1420 1.3845 53.12 0.4116 61.51
1430 1.0461 56.25 0.4218 56.99
1440 1.4379 56.25 0.5953 61.34
1450 0.7986 68.75 0.4096 66.26
1460 1.1652 53.12 0.5135 61.77
1470 1.2103 50.00 0.3586 61.71
1480 1.3378 56.25 0.3660 61.80
1490 0.8738 68.75 0.5321 70.27
1500 0.9782 65.62 0.5658 64.95
1510 1.0966 62.50 0.4264 60.31
1520 1.0207 62.50 0.3101 61.24
1530 1.1421 50.00 0.3901 61.28
1540 1.1465 68.75 0.5965 58.35
1550 0.9018 71.88 0.4795 60.68
1560 1.0879 59.38 0.3441 58.40
1570 1.3639 53.12 0.5115 58.89
1580 0.9237 78.12 0.4988 61.01
1590 0.9373 65.62 0.4415 64.82
1600 1.0531 71.88 0.3134 66.66
1610 0.9798 71.88 0.5690 63.63
1620 0.7352 68.75 0.4230 67.45
1630 0.8481 75.00 0.4322 64.45
1640 0.8620 78.12 0.5232 61.92
1650 1.2117 53.12 0.5066 62.03
1660 1.4114 53.12 0.5383 57.57
1670 1.0504 68.75 0.4883 58.93
1680 1.3532 53.12 0.5243 62.30
1690 1.0859 62.50 0.4251 64.33
1700 0.8431 75.00 0.4023 62.97
1710 1.3722 56.25 0.5235 61.74
1720 1.1558 59.38 0.5046 59.28
1730 1.3750 53.12 0.6845 61.36
1740 1.0057 75.00 0.5607 65.10
1750 0.9750 68.75 0.5574 62.10
1760 1.1932 62.50 0.5831 63.99
1770 0.9674 75.00 0.4642 65.90
1780 1.0816 62.50 0.5038 68.78
1790 0.9208 65.62 0.4428 62.03
1800 1.0118 65.62 0.5005 58.18
1810 1.0509 56.25 0.4228 61.04
1820 0.9978 68.75 0.5113 58.79
1830 1.4902 50.00 0.5536 54.02
1840 1.1796 59.38 0.4039 60.66
1850 1.1737 56.25 0.5100 64.44
1860 1.2280 62.50 0.5276 65.21
1870 0.9625 68.75 0.3325 68.49
