batch class_loss class_acc conf_loss conf
0 0.3552 90.62 0.2865 77.32
10 0.6157 71.88 0.4987 72.18
20 0.6094 78.12 0.4413 77.07
30 0.6879 65.62 0.5443 75.58
40 0.6298 71.88 0.5772 75.35
50 0.4838 75.00 0.4165 75.80
60 0.5361 75.00 0.4307 77.53
70 0.6338 71.88 0.4451 75.18
80 0.7446 65.62 0.4576 74.31
90 0.4570 75.00 0.3621 77.90
100 0.5357 81.25 0.4198 75.04
110 0.8445 65.62 0.5100 73.52
120 0.6463 71.88 0.4117 75.61
130 0.7176 68.75 0.4407 76.72
140 0.6054 78.12 0.3734 75.62
150 0.7758 59.38 0.4985 76.27
160 0.7098 81.25 0.4801 76.09
170 0.8269 68.75 0.5439 78.17
180 0.5414 78.12 0.4526 76.04
190 0.7989 65.62 0.5239 75.30
200 0.7987 68.75 0.5023 76.67
210 0.5311 78.12 0.3773 75.45
220 0.4943 78.12 0.4072 78.47
230 0.6546 65.62 0.5265 74.45
240 0.8583 65.62 0.5811 75.27
250 0.5009 78.12 0.3848 76.89
260 0.5417 84.38 0.3516 76.15
270 0.7532 68.75 0.5622 74.29
280 0.6850 71.88 0.4712 74.40
290 0.5630 78.12 0.3498 75.62
300 0.9333 59.38 0.7784 74.87
310 0.5257 65.62 0.5487 75.88
320 0.6964 71.88 0.5136 77.26
330 0.5555 71.88 0.3611 75.62
340 0.5655 87.50 0.3973 77.10
350 1.0374 56.25 0.5679 74.49
360 0.6774 78.12 0.5195 74.82
370 0.4209 87.50 0.3537 78.39
380 0.5216 78.12 0.3539 73.12
390 0.6331 71.88 0.5795 76.12
400 0.8150 62.50 0.5482 74.94
410 0.6161 75.00 0.4893 74.53
420 0.7176 65.62 0.3387 75.17
430 0.5257 81.25 0.4372 75.18
440 0.9868 65.62 0.5809 75.62
450 0.5043 75.00 0.3156 73.04
460 0.4569 81.25 0.4577 73.73
470 0.6334 68.75 0.4431 72.82
480 0.6486 68.75 0.5520 76.94
490 0.5450 75.00 0.4296 72.26
500 0.6515 65.62 0.5888 74.50
510 0.7648 68.75 0.5062 77.58
520 0.6220 78.12 0.4104 71.19
530 0.8794 62.50 0.7558 75.39
540 0.3003 93.75 0.3308 74.77
550 0.6156 71.88 0.4060 76.69
560 0.6067 75.00 0.3633 74.86
570 0.5616 81.25 0.4752 74.76
580 0.7799 68.75 0.4229 75.29
590 0.8692 71.88 0.5583 76.10
600 0.5255 78.12 0.4298 75.23
610 0.7757 75.00 0.5683 72.26
620 0.5689 75.00 0.4832 74.06
630 0.7841 65.62 0.5101 75.65
640 0.7048 62.50 0.4483 73.44
650 0.3685 93.75 0.3417 75.14
660 0.6983 75.00 0.4194 73.62
670 0.4217 84.38 0.2913 73.55
680 1.0007 65.62 0.5612 75.53
690 0.4544 75.00 0.3368 75.13
700 0.6678 71.88 0.4828 73.55
710 0.4918 84.38 0.4145 75.82
720 0.5607 78.12 0.5316 76.37
730 0.5868 71.88 0.4309 75.33
740 0.4565 81.25 0.4001 73.60
