batch class_loss class_acc conf_loss conf
0 0.6744 71.88 0.4610 78.79
10 0.4769 84.38 0.3934 74.30
20 0.6083 71.88 0.3427 73.68
30 0.5141 84.38 0.3452 74.45
40 0.6329 75.00 0.4104 76.47
50 0.5289 81.25 0.4629 76.73
60 0.5854 65.62 0.4568 76.73
70 0.5341 71.88 0.3929 72.43
80 0.4933 81.25 0.4069 75.38
90 0.6071 75.00 0.3591 75.11
100 0.6566 81.25 0.4499 74.38
110 0.3511 84.38 0.2726 78.32
120 0.8124 68.75 0.4484 75.66
130 0.4889 78.12 0.3674 75.20
140 0.7016 62.50 0.4750 74.41
150 0.7730 71.88 0.4663 74.24
160 0.6073 75.00 0.5376 74.88
170 0.5828 81.25 0.3495 74.71
180 0.6184 81.25 0.4482 75.97
190 0.7591 78.12 0.5088 75.41
200 0.5444 71.88 0.3984 76.17
210 0.4305 81.25 0.3485 75.85
220 0.4597 75.00 0.3322 76.30
230 0.6122 75.00 0.4314 77.02
240 0.5516 75.00 0.5390 75.44
250 0.6904 65.62 0.4623 72.25
260 0.4917 81.25 0.4044 73.22
270 0.5774 75.00 0.3891 75.77
280 0.6253 75.00 0.4546 74.16
290 0.6452 62.50 0.4865 73.55
300 0.4943 78.12 0.3593 77.32
310 0.4484 81.25 0.4389 73.48
320 0.6216 75.00 0.4194 77.72
330 0.6033 68.75 0.5559 76.83
340 0.3613 84.38 0.3303 77.33
350 0.4078 84.38 0.3017 75.07
360 0.6405 75.00 0.4301 74.90
370 0.5785 81.25 0.4321 75.55
380 0.7928 65.62 0.5005 75.72
390 0.7221 71.88 0.4830 77.96
400 0.6289 71.88 0.5489 75.14
410 0.5933 71.88 0.4540 75.39
420 0.6282 78.12 0.4836 77.52
430 0.5363 75.00 0.3810 77.48
440 0.5349 75.00 0.4349 76.76
450 0.3846 84.38 0.3297 74.87
460 0.6578 68.75 0.4398 76.37
470 0.4927 78.12 0.3874 78.10
480 0.4671 78.12 0.3057 75.63
490 0.7391 75.00 0.5337 76.62
500 0.7905 71.88 0.5863 77.05
510 0.4052 84.38 0.3396 75.61
520 0.4231 84.38 0.4727 77.14
530 0.9712 59.38 0.5133 73.53
540 0.6053 75.00 0.4658 73.01
550 0.7310 71.88 0.4490 73.66
560 0.7241 75.00 0.4770 72.72
570 0.3138 87.50 0.2815 76.10
580 0.6598 71.88 0.4296 76.91
590 0.4632 81.25 0.3552 76.38
600 0.4837 84.38 0.3789 74.83
610 0.9700 56.25 0.5290 74.96
620 0.4721 78.12 0.4031 75.27
630 0.4523 81.25 0.3421 74.47
640 0.4406 81.25 0.3166 76.05
650 0.6117 78.12 0.3559 76.00
660 0.3865 84.38 0.5243 77.81
670 1.0580 65.62 0.7464 78.88
680 0.5964 75.00 0.6089 76.34
690 0.7350 71.88 0.5209 75.10
700 0.5452 78.12 0.4612 73.82
710 0.7032 75.00 0.3998 74.58
720 0.5689 75.00 0.4339 73.63
730 1.0694 62.50 0.5874 76.39
740 0.5393 78.12 0.3598 75.87
