batch class_loss class_acc conf_loss conf
0 1.2725 62.50 0.5966 61.81
10 0.7086 81.25 0.4231 65.10
20 0.8275 78.12 0.4544 66.16
30 1.1444 53.12 0.3921 61.10
40 1.1869 53.12 0.4524 57.94
50 0.8236 68.75 0.4274 62.58
60 1.4780 50.00 0.5366 62.78
70 1.0699 59.38 0.5038 62.00
80 1.3896 53.12 0.6714 63.27
90 0.9499 78.12 0.5287 60.50
100 1.4454 46.88 0.5065 62.58
110 0.9339 65.62 0.3754 68.85
120 1.1314 65.62 0.4414 69.05
130 1.0609 53.12 0.6867 64.97
140 1.0334 68.75 0.5081 60.53
150 0.9425 68.75 0.4434 60.04
160 0.9280 75.00 0.5852 62.80
170 1.0147 65.62 0.4730 63.35
180 1.2199 59.38 0.4687 60.41
190 0.7062 75.00 0.4196 65.32
200 1.0581 65.62 0.6248 67.05
210 1.0074 71.88 0.3836 64.73
220 1.1365 62.50 0.5186 63.92
230 1.0872 62.50 0.4819 58.69
240 1.4981 53.12 0.6633 64.81
250 1.3822 53.12 0.5546 65.30
260 1.1725 59.38 0.6710 62.36
270 0.9321 65.62 0.4781 58.49
280 1.2925 56.25 0.3706 59.43
290 1.2042 53.12 0.4635 59.81
300 0.9021 65.62 0.4312 60.01
310 1.1645 53.12 0.4467 64.57
320 0.8681 62.50 0.4555 61.07
330 1.2121 62.50 0.5172 63.87
340 1.1481 56.25 0.5316 62.38
350 1.4082 50.00 0.4754 60.37
360 1.3776 53.12 0.5175 65.50
370 1.0862 65.62 0.4722 65.56
380 1.1446 65.62 0.4142 62.64
390 0.9673 65.62 0.6245 63.98
400 1.0890 59.38 0.4909 63.45
410 0.9007 71.88 0.5371 62.54
420 0.7757 75.00 0.4621 63.45
430 0.6980 78.12 0.6289 65.06
440 1.0594 62.50 0.5001 65.70
450 1.1360 56.25 0.4529 60.17
460 1.0745 65.62 0.5288 62.27
470 1.3878 59.38 0.5795 64.35
480 1.4417 50.00 0.5211 65.77
490 1.0480 62.50 0.4206 65.34
500 0.7880 78.12 0.5063 65.76
510 1.1669 59.38 0.4125 61.69
520 1.1080 56.25 0.4633 59.19
530 0.8699 59.38 0.4126 62.32
540 1.5492 56.25 0.5104 60.47
550 1.1987 59.38 0.4527 61.82
560 1.0869 65.62 0.5300 64.89
570 0.9599 68.75 0.4225 65.78
580 0.8797 71.88 0.4707 66.11
590 1.2403 68.75 0.6160 65.79
600 0.9164 71.88 0.4696 64.11
610 0.8263 75.00 0.4570 61.90
620 1.2368 62.50 0.7014 58.97
630 1.4370 46.88 0.5735 60.78
640 0.9007 68.75 0.3741 63.12
650 1.5074 43.75 0.6032 58.40
660 1.4055 56.25 0.5877 58.86
670 1.4044 46.88 0.5126 58.15
680 1.1021 62.50 0.5067 57.71
690 0.9946 78.12 0.6378 59.39
700 0.6314 81.25 0.4423 61.54
710 0.9989 71.88 0.5320 67.70
720 1.3341 59.38 0.4350 66.41
730 1.0158 68.75 0.4958 60.94
740 1.0492 65.62 0.4729 61.58
750 1.0350 68.75 0.3937 61.98
760 1.0411 59.38 0.4308 61.68
770 1.0627 62.50 0.4935 60.58
780 1.2418 53.12 0.5619 60.02
790 1.4990 43.75 0.5371 58.78
800 0.8170 81.25 0.4688 62.68
810 1.2191 50.00 0.5211 59.94
