batch class_loss class_acc conf_loss conf
0 1.4491 53.12 0.6971 64.00
10 1.0535 65.62 0.5391 60.91
20 1.1922 59.38 0.5380 63.85
30 1.1655 59.38 0.4744 58.28
40 1.2270 56.25 0.5062 65.66
50 1.3716 50.00 0.4768 61.03
60 1.0562 62.50 0.4739 60.23
70 1.0986 68.75 0.6866 63.47
80 1.3965 56.25 0.4804 61.36
90 0.9151 71.88 0.4569 62.73
100 1.0296 65.62 0.4693 61.71
110 1.2506 59.38 0.4318 60.54
120 1.1284 68.75 0.4411 62.16
130 1.1002 65.62 0.3852 63.20
140 1.1828 59.38 0.4685 65.74
150 1.2178 59.38 0.5547 63.30
160 1.2083 62.50 0.5287 58.38
170 0.9330 59.38 0.3668 57.45
180 0.9885 65.62 0.4935 59.23
190 1.2793 59.38 0.4460 60.35
200 1.1447 46.88 0.6101 64.65
210 1.4744 50.00 0.4361 63.90
220 1.1452 53.12 0.4387 61.24
230 0.7988 68.75 0.4743 60.48
240 0.9997 62.50 0.4834 61.26
250 1.0114 59.38 0.4639 66.16
260 1.3863 37.50 0.9273 60.33
270 1.0591 56.25 0.4411 60.39
280 1.1434 56.25 0.5033 58.20
290 1.2391 50.00 0.5148 60.56
300 1.0496 68.75 0.5147 61.67
310 0.9545 71.88 0.5454 63.54
320 1.0372 62.50 0.5256 62.44
330 0.9225 62.50 0.3975 64.93
340 0.9940 68.75 0.4869 65.18
350 0.9986 71.88 0.5312 60.50
360 1.1684 65.62 0.4509 60.48
370 1.1062 62.50 0.5335 62.03
380 1.1569 65.62 0.5262 58.67
390 1.2544 65.62 0.5942 62.92
400 0.8559 75.00 0.3646 64.49
410 0.9660 68.75 0.4508 62.20
420 1.2276 46.88 0.4229 56.77
430 1.3366 53.12 0.4846 56.60
440 1.3124 56.25 0.4893 59.05
450 1.0690 68.75 0.5467 62.12
460 0.9030 68.75 0.4765 63.02
470 1.6893 43.75 0.7057 60.03
480 1.1492 53.12 0.5254 60.30
490 0.7861 75.00 0.4347 57.20
500 1.2747 59.38 0.5042 58.08
510 0.6753 87.50 0.5256 62.00
520 1.3026 59.38 0.4950 63.13
530 1.0690 56.25 0.4361 63.86
540 1.4130 62.50 0.5643 62.96
550 0.9095 65.62 0.3720 60.99
560 0.6189 81.25 0.5057 63.38
