batch class_loss class_acc conf_loss conf
0 0.5691 75.00 0.4972 75.46
10 0.5582 78.12 0.3889 77.12
20 0.6864 71.88 0.4570 72.94
30 0.6036 71.88 0.4109 73.36
40 0.6111 71.88 0.4382 74.25
50 0.6899 81.25 0.5426 73.82
60 0.6294 81.25 0.4970 75.91
70 0.5718 71.88 0.4400 74.71
80 0.4382 87.50 0.3635 74.79
90 0.5246 84.38 0.3687 74.11
100 0.6142 81.25 0.4725 79.60
110 0.7790 62.50 0.4678 72.03
120 0.4804 75.00 0.3392 74.95
130 0.7354 62.50 0.5401 73.60
140 0.4776 78.12 0.4066 71.37
150 0.6657 78.12 0.3898 77.23
160 0.8054 68.75 0.5106 73.64
170 0.5930 75.00 0.4728 76.20
180 0.6542 71.88 0.3904 74.27
190 0.5467 75.00 0.3522 73.46
200 0.6613 71.88 0.3922 72.09
210 0.5528 71.88 0.4353 73.95
220 0.6435 65.62 0.4514 76.73
230 0.6693 75.00 0.3627 75.75
240 0.6444 81.25 0.5965 70.66
250 0.5619 71.88 0.4956 75.00
260 0.6024 81.25 0.4503 73.47
270 0.6439 81.25 0.4682 72.49
280 0.5556 75.00 0.4564 77.86
290 0.6255 75.00 0.3636 75.07
300 0.5076 81.25 0.3723 73.45
310 0.6777 68.75 0.5568 76.24
320 0.7515 71.88 0.4986 74.94
330 0.7699 65.62 0.5549 74.39
340 0.9033 68.75 0.5217 74.24
350 0.5268 71.88 0.5204 75.44
360 0.6381 68.75 0.5091 77.84
370 0.6247 81.25 0.3358 73.67
380 0.8306 65.62 0.4753 75.28
390 0.7993 62.50 0.4435 72.79
400 0.7449 68.75 0.4381 75.69
410 0.5667 75.00 0.3881 74.89
420 0.6492 68.75 0.3851 73.26
430 0.5361 78.12 0.4486 76.72
440 0.6056 75.00 0.4368 73.97
450 0.6022 78.12 0.4428 76.47
460 0.5997 68.75 0.3495 75.04
470 0.7681 68.75 0.5695 75.95
480 0.4004 81.25 0.3214 76.20
490 0.6279 71.88 0.4859 74.80
500 0.9060 65.62 0.5577 75.04
510 0.7229 68.75 0.5652 73.02
520 0.4625 78.12 0.3315 76.24
530 0.5223 71.88 0.4139 74.64
540 0.8638 75.00 0.5786 73.32
550 0.7155 65.62 0.4710 74.45
560 0.5513 81.25 0.4079 71.48
570 0.5050 81.25 0.5012 77.58
580 0.5427 78.12 0.3130 75.54
590 0.6310 71.88 0.3827 73.34
600 0.7958 71.88 0.4741 75.56
610 0.6430 81.25 0.4483 74.43
620 0.6197 75.00 0.4868 74.42
630 0.5590 78.12 0.4179 72.01
640 0.7908 75.00 0.4770 72.61
650 0.4184 87.50 0.3519 74.25
660 0.6405 75.00 0.5089 76.66
670 0.5631 78.12 0.4163 72.33
680 0.6001 75.00 0.4262 72.15
690 0.7419 65.62 0.5231 73.05
700 0.6483 68.75 0.3919 74.25
710 0.4832 84.38 0.3603 72.67
720 0.6115 71.88 0.4616 75.60
