batch class_loss class_acc conf_loss conf
0 2.3192 12.50 0.6176 45.07
10 2.3861 6.25 0.3587 24.38
20 2.2574 28.12 0.6149 15.33
30 2.2892 21.88 0.5540 12.42
40 2.2308 12.50 0.3677 12.70
50 2.2294 25.00 0.6646 14.04
60 2.1932 25.00 0.6653 18.64
70 2.1594 21.88 0.5677 23.48
80 2.1692 28.12 0.6139 26.10
90 2.1099 25.00 0.5372 27.97
100 2.0007 28.12 0.6031 32.17
110 1.9952 31.25 0.6441 36.12
120 1.9429 40.62 0.6150 37.92
130 1.8843 34.38 0.6273 38.40
140 2.1065 31.25 0.6037 38.34
150 2.0379 15.62 0.6117 41.15
160 1.6555 53.12 0.7794 44.16
170 1.6951 31.25 0.6545 48.13
180 1.7016 43.75 0.6471 46.85
190 1.5466 46.88 0.6732 47.04
200 1.4179 56.25 0.5747 47.88
210 1.5658 34.38 0.7255 49.67
220 1.6689 37.50 0.6747 49.55
230 1.5974 43.75 0.6346 47.04
240 1.3574 65.62 0.6106 46.67
250 1.5180 50.00 0.6044 50.07
260 1.7051 37.50 0.7088 53.03
270 1.6858 46.88 0.6455 54.46
280 1.5923 43.75 0.6348 54.01
290 1.1947 56.25 0.5992 54.19
300 1.4801 56.25 0.7015 51.99
310 1.1548 65.62 0.5699 53.77
320 1.6079 46.88 0.6169 53.96
330 1.1544 78.12 0.6733 51.69
340 1.5475 46.88 0.6509 50.56
350 1.3834 46.88 0.6374 50.89
360 1.3097 56.25 0.6460 50.36
370 1.2353 56.25 0.5251 51.51
380 1.5285 50.00 0.7752 53.56
390 1.4263 43.75 0.4974 51.27
400 1.3637 46.88 0.6304 52.28
410 1.3583 46.88 0.5305 54.39
420 1.3330 59.38 0.5175 53.75
430 1.3015 59.38 0.4906 55.06
440 1.4756 43.75 0.8370 51.78
450 1.0787 68.75 0.6109 51.40
460 1.5678 43.75 0.6486 54.35
470 1.5573 40.62 0.6766 51.86
480 1.1270 56.25 0.5723 51.62
490 1.7320 40.62 0.6841 53.18
500 1.1628 56.25 0.5625 54.01
510 1.5031 46.88 0.5947 55.76
520 1.2883 62.50 0.6077 56.94
530 1.4465 50.00 0.5538 54.20
540 1.0126 75.00 0.5813 54.97
550 1.4564 46.88 0.5464 54.48
560 1.4530 40.62 0.6548 57.90
570 1.1510 53.12 0.7255 56.90
580 1.1433 65.62 0.5381 55.01
590 1.0831 65.62 0.5955 54.85
600 1.1275 56.25 0.6097 55.84
610 1.3296 50.00 0.6225 56.03
620 1.5171 50.00 0.5598 56.74
630 1.1453 62.50 0.5141 58.82
640 1.0843 65.62 0.6523 60.02
650 1.1848 59.38 0.5000 58.09
660 1.3321 56.25 0.4959 53.91
670 1.4415 53.12 0.5946 54.48
680 1.2434 53.12 0.5235 56.36
690 1.0063 53.12 0.5442 58.77
700 1.3412 56.25 0.6253 56.60
710 1.3042 43.75 0.5806 57.52
720 1.4938 62.50 0.6991 56.78
730 1.1410 53.12 0.5681 56.30
740 1.1065 65.62 0.5605 56.21
750 1.0994 59.38 0.5392 56.55
760 1.1409 62.50 0.5909 56.48
770 1.5002 40.62 0.4836 57.47
780 1.0714 59.38 0.5630 55.95
790 1.4214 46.88 0.4118 51.25
800 1.1958 59.38 0.6041 56.08
810 1.3622 43.75 0.5150 56.83
820 1.5364 50.00 0.5374 59.07
830 0.9953 65.62 0.6316 54.25
840 1.0772 68.75 0.5399 59.66
850 1.5618 50.00 0.5389 58.17
860 1.1834 56.25 0.6477 61.16
870 1.0544 71.88 0.6372 59.05
880 1.0377 62.50 0.5913 60.34
890 0.9439 65.62 0.5591 58.83
900 1.4536 50.00 0.5811 56.28
910 1.3579 53.12 0.3992 52.88
920 1.0625 62.50 0.3469 55.91
930 1.4883 43.75 0.5120 56.31
940 1.0288 68.75 0.5409 56.81
950 1.1923 65.62 0.4829 55.36
960 1.7145 37.50 0.8824 57.25
970 1.3336 56.25 0.4202 56.83
980 1.0319 65.62 0.5034 56.67
990 1.3007 53.12 0.5653 56.85
1000 1.0970 56.25 0.5357 58.00
1010 1.1756 56.25 0.5002 61.16
1020 1.2870 59.38 0.4587 59.08
1030 0.9259 68.75 0.5949 61.98
1040 1.8083 34.38 0.6684 60.17
1050 1.4582 46.88 0.6555 58.34
1060 1.3782 43.75 0.5598 55.17
1070 1.5342 43.75 0.6130 54.53
1080 1.3634 62.50 0.7194 56.07
1090 1.3829 53.12 0.4615 59.44
1100 1.5300 62.50 0.6710 60.30
1110 0.8354 75.00 0.5249 60.73
1120 1.3676 53.12 0.4539 61.22
1130 1.2406 62.50 0.6080 58.52
1140 1.2473 50.00 0.4939 56.27
1150 1.2537 53.12 0.6060 60.50
1160 1.0903 62.50 0.5058 58.75
1170 0.9579 68.75 0.5078 57.10
1180 1.5459 50.00 0.6512 55.16
1190 1.1536 59.38 0.5263 55.81
1200 1.2445 56.25 0.4690 57.32
1210 1.0590 62.50 0.6159 60.70
1220 1.0558 68.75 0.4954 59.75
1230 1.2957 62.50 0.6308 61.26
1240 1.5722 43.75 0.6465 57.67
1250 1.3083 59.38 0.6080 55.62
1260 1.4443 53.12 0.5979 55.38
1270 1.3254 53.12 0.5778 55.66
1280 1.0644 56.25 0.4554 56.41
1290 1.2555 56.25 0.5883 57.21
1300 1.5162 50.00 0.6145 56.79
1310 0.9543 62.50 0.5529 61.57
1320 1.0235 68.75 0.4683 61.69
1330 1.3489 56.25 0.5173 59.59
1340 0.9781 68.75 0.4378 56.10
1350 1.2400 53.12 0.6410 60.32
1360 1.3053 50.00 0.5969 60.52
1370 1.4372 53.12 0.6852 61.63
1380 1.2707 50.00 0.6696 60.68
1390 1.2842 50.00 0.5804 58.76
1400 1.1694 59.38 0.4437 56.90
1410 1.3204 56.25 0.6506 57.86
1420 1.5001 53.12 0.5188 60.23
1430 1.1573 68.75 0.4864 63.34
1440 1.1448 62.50 0.4638 58.94
1450 1.4796 56.25 0.6236 59.46
