batch class_loss class_acc conf_loss conf
0 0.3226 93.75 0.3085 75.93
10 0.5765 75.00 0.3083 76.01
20 0.5939 68.75 0.5303 78.84
30 0.4991 78.12 0.3529 79.87
40 0.5743 78.12 0.4722 75.16
50 0.4333 75.00 0.3532 80.24
60 0.6237 87.50 0.4098 75.21
70 0.6080 78.12 0.4040 74.80
80 0.4510 84.38 0.2934 74.34
90 0.5585 78.12 0.3906 79.61
100 0.5390 81.25 0.3019 80.25
110 0.5166 84.38 0.2917 75.69
120 0.8502 62.50 0.6150 78.19
130 0.5678 78.12 0.4034 78.21
140 0.6231 81.25 0.4540 77.73
150 0.5537 78.12 0.3810 77.93
160 0.7403 62.50 0.6162 79.59
170 0.4799 81.25 0.3148 77.69
180 0.5491 78.12 0.4285 76.36
190 0.5798 75.00 0.3851 76.76
200 0.4864 84.38 0.4601 75.96
210 0.3786 84.38 0.2829 76.23
220 0.5269 81.25 0.3763 77.44
230 0.3480 84.38 0.3159 76.96
240 0.6598 81.25 0.3762 77.37
250 0.9332 62.50 0.5760 77.24
260 0.3934 81.25 0.3542 76.98
270 0.7106 71.88 0.5347 76.29
280 0.6352 75.00 0.2882 76.59
290 0.5546 84.38 0.3662 76.95
300 0.6953 75.00 0.4865 74.85
310 0.7124 78.12 0.3791 76.05
320 0.5471 78.12 0.4552 74.11
330 0.4858 78.12 0.4670 75.81
340 0.6203 75.00 0.4815 78.42
350 0.6972 75.00 0.5739 79.34
360 0.4175 81.25 0.3525 78.30
370 0.5174 71.88 0.3868 78.19
380 0.5876 71.88 0.3868 75.56
390 0.5215 81.25 0.3754 76.19
400 0.4977 78.12 0.4309 76.95
410 0.6863 68.75 0.5500 76.65
420 0.7018 65.62 0.3918 77.23
430 0.7766 68.75 0.4531 74.18
440 0.4962 81.25 0.3968 76.35
450 0.8234 75.00 0.4600 77.43
460 0.7339 71.88 0.4780 75.97
470 0.7281 65.62 0.4900 75.98
480 0.4636 81.25 0.3659 77.83
490 0.7019 81.25 0.4442 75.37
500 0.5601 71.88 0.4446 76.88
510 0.4424 84.38 0.3524 75.24
520 0.6581 68.75 0.4261 72.80
530 0.6312 78.12 0.5233 75.82
540 0.7386 62.50 0.6019 77.80
550 0.6624 68.75 0.4236 75.72
560 0.4547 78.12 0.3491 78.40
570 0.4746 75.00 0.3732 76.23
580 0.9567 65.62 0.5012 78.43
590 0.2871 90.62 0.2858 78.16
600 0.3903 84.38 0.2629 77.59
610 0.7304 71.88 0.5037 77.25
620 0.3781 84.38 0.3041 77.90
630 0.3880 87.50 0.3857 76.59
640 0.5492 84.38 0.3669 75.20
650 0.5528 81.25 0.3080 76.10
660 0.3440 93.75 0.3087 76.49
670 0.3937 81.25 0.3986 80.13
680 0.8724 59.38 0.5568 73.19
690 0.3709 90.62 0.3175 75.75
700 0.5584 81.25 0.4004 79.90
710 0.5150 81.25 0.3317 74.78
720 0.5250 71.88 0.4565 81.06
730 0.5238 78.12 0.3268 77.72
