batch class_loss class_acc conf_loss conf
0 2.3091 6.25 0.6402 47.75
10 2.1714 28.12 0.6534 45.75
20 1.8547 50.00 0.7219 44.23
30 1.6647 59.38 0.7969 43.64
40 1.5310 71.88 0.7766 45.99
50 1.4004 75.00 0.7266 47.84
60 1.1511 84.38 0.6982 49.86
70 1.1745 75.00 0.6451 51.66
80 1.1512 84.38 0.6169 54.09
90 1.1072 75.00 0.6160 55.44
100 0.9941 71.88 0.5781 57.52
110 0.8933 81.25 0.5628 58.82
120 0.8372 84.38 0.5174 58.69
130 0.8073 84.38 0.5282 61.30
140 0.7642 84.38 0.4961 61.77
150 0.9498 71.88 0.4852 62.27
160 0.8277 81.25 0.4987 64.43
170 0.8844 68.75 0.4744 63.73
180 0.9522 68.75 0.5147 64.38
190 0.8128 71.88 0.4917 65.15
200 0.8895 75.00 0.4941 66.29
210 1.0060 62.50 0.5707 66.15
220 0.8370 78.12 0.5337 67.83
230 0.6175 84.38 0.4076 68.61
240 0.8691 65.62 0.4877 68.34
250 0.6919 75.00 0.3738 68.96
260 0.7238 78.12 0.5376 68.98
270 0.7338 78.12 0.4453 70.86
280 0.7833 71.88 0.4906 69.68
290 0.6434 81.25 0.3873 69.94
300 1.0007 59.38 0.5348 70.39
310 0.7480 75.00 0.4786 71.19
320 0.7004 75.00 0.4458 70.66
330 0.4939 87.50 0.3420 71.92
340 0.5755 71.88 0.3539 72.95
350 0.5559 78.12 0.3646 73.10
360 0.7776 68.75 0.3714 72.70
370 0.6338 81.25 0.3701 70.75
380 0.6580 78.12 0.3805 72.82
390 0.6281 71.88 0.4324 72.26
400 0.5607 78.12 0.3807 73.05
410 0.7234 81.25 0.3859 73.62
420 0.5852 78.12 0.4013 72.82
430 0.7143 71.88 0.3997 73.34
440 0.6967 78.12 0.4501 74.20
450 0.4638 84.38 0.3751 75.06
460 0.5101 87.50 0.4379 72.33
470 0.5923 78.12 0.4381 74.20
480 0.5871 75.00 0.3743 74.28
490 0.3677 93.75 0.3601 74.02
500 0.7730 75.00 0.4438 72.33
510 0.7558 71.88 0.4835 76.96
520 0.9819 65.62 0.5521 74.25
530 0.6061 81.25 0.4159 75.79
540 0.6186 84.38 0.4163 74.23
550 0.6344 71.88 0.3431 76.96
560 0.6768 75.00 0.3961 75.11
570 0.6158 81.25 0.3646 76.61
580 0.4705 84.38 0.3885 75.63
590 0.4048 93.75 0.3461 77.62
600 0.6327 78.12 0.3635 74.50
610 0.7745 62.50 0.4806 75.42
620 0.7478 65.62 0.6185 77.44
630 0.9897 65.62 0.5009 76.84
640 0.7288 71.88 0.4119 75.40
650 0.9664 65.62 0.4662 75.47
660 0.2486 96.88 0.2592 78.54
670 0.6379 71.88 0.3342 74.21
680 0.6246 81.25 0.3352 76.81
690 0.3706 87.50 0.3425 76.93
700 0.7712 71.88 0.4066 77.06
710 0.5282 81.25 0.3910 72.30
720 0.6602 71.88 0.4929 77.24
730 0.4647 81.25 0.3721 78.11
740 0.4806 78.12 0.3119 78.61
750 0.8810 68.75 0.5856 75.34
760 0.5872 78.12 0.3382 78.15
