batch class_loss class_acc conf_loss conf
0 0.9000 68.75 0.3829 60.18
10 1.3256 53.12 0.6097 60.23
20 1.2286 59.38 0.5059 58.08
30 0.9430 65.62 0.3416 61.51
40 1.2876 59.38 0.6925 66.85
50 1.2983 56.25 0.5197 62.78
60 1.1277 59.38 0.4580 59.63
70 1.1757 59.38 0.4061 59.96
80 1.3652 43.75 0.6521 60.69
90 0.8781 71.88 0.4588 60.51
100 1.2971 62.50 0.4454 57.77
110 1.7158 43.75 0.6370 63.27
120 1.0294 56.25 0.4973 61.55
130 1.0384 65.62 0.4511 60.88
140 1.2939 43.75 0.4962 57.79
150 1.2224 56.25 0.4972 58.91
160 1.2024 59.38 0.4750 62.45
170 1.3287 59.38 0.6440 58.28
180 0.8632 75.00 0.5431 60.74
190 0.9212 75.00 0.4505 62.39
200 1.2698 59.38 0.5323 66.54
210 1.3144 62.50 0.6353 61.69
220 0.8049 65.62 0.4637 64.91
230 0.9921 65.62 0.4835 60.14
240 1.0412 62.50 0.4695 59.93
250 1.2401 56.25 0.5409 61.71
260 1.2517 43.75 0.5846 59.85
270 1.1246 56.25 0.5752 58.41
280 0.8847 65.62 0.4997 56.47
290 0.9983 78.12 0.4669 60.35
300 1.1667 65.62 0.4913 61.68
310 1.6089 53.12 0.7657 64.71
320 0.9671 59.38 0.5363 60.67
330 1.0926 59.38 0.6104 56.68
340 1.7056 62.50 0.6402 59.64
350 1.0305 59.38 0.4058 59.99
360 1.0695 65.62 0.5081 61.14
370 0.9164 78.12 0.5764 59.59
380 1.2470 56.25 0.4849 62.23
390 1.1281 53.12 0.5096 64.53
400 1.3852 50.00 0.6400 65.79
410 1.4594 53.12 0.4913 62.78
420 1.1423 59.38 0.4989 59.59
430 0.9049 62.50 0.5794 58.38
440 0.8991 62.50 0.4696 57.30
450 1.1163 65.62 0.4073 58.20
460 1.2566 62.50 0.4535 64.51
470 1.3216 53.12 0.6337 68.29
480 0.9497 68.75 0.4101 65.39
490 0.6784 78.12 0.5675 61.80
500 1.5598 50.00 0.6463 63.43
