batch class_loss class_acc conf_loss conf
0 0.5485 75.00 0.3732 73.77
10 1.0641 62.50 0.5523 70.48
20 0.5895 84.38 0.4624 68.57
30 0.5195 81.25 0.4024 71.61
40 0.6756 78.12 0.3610 72.56
50 0.7744 65.62 0.5919 73.54
60 0.4766 78.12 0.3859 74.12
70 0.4978 81.25 0.3431 73.99
80 0.6197 65.62 0.4272 70.14
90 0.6124 78.12 0.3992 75.70
100 0.8472 56.25 0.7101 74.03
110 0.5470 68.75 0.4880 72.77
120 0.7112 71.88 0.5840 73.16
130 0.4154 90.62 0.4069 72.28
140 0.6556 75.00 0.4791 71.58
150 0.7640 68.75 0.5508 73.24
160 0.5822 75.00 0.4204 72.08
170 0.5768 81.25 0.4262 74.81
180 0.7885 65.62 0.5227 71.77
190 0.7587 65.62 0.7121 74.47
200 0.4979 75.00 0.3770 72.40
210 0.7574 68.75 0.4880 73.26
220 0.5917 71.88 0.4836 73.30
230 0.5787 81.25 0.3744 73.55
240 0.7109 68.75 0.5659 72.89
250 0.8321 71.88 0.5843 75.03
260 0.5179 78.12 0.3902 71.48
270 0.6106 78.12 0.3996 72.96
280 0.6644 65.62 0.4117 71.78
290 0.7159 78.12 0.5654 73.19
300 0.7134 68.75 0.5681 73.71
310 0.6206 78.12 0.4186 74.62
320 0.5106 78.12 0.4180 72.05
330 0.4901 90.62 0.3686 71.88
340 0.5530 71.88 0.4038 72.46
350 0.3277 93.75 0.3811 74.10
360 0.6896 68.75 0.4358 72.26
370 0.7350 59.38 0.6487 73.53
380 0.8167 68.75 0.5638 72.16
390 1.1657 50.00 0.9141 74.66
400 0.5522 78.12 0.3653 73.14
410 0.6358 75.00 0.4631 74.61
420 0.8073 68.75 0.5671 72.98
430 0.5806 78.12 0.4405 71.79
440 0.4948 78.12 0.3545 74.23
450 0.6698 75.00 0.5355 73.71
460 0.6482 65.62 0.5763 70.78
470 0.5030 81.25 0.3949 75.16
480 0.5287 84.38 0.3766 74.14
490 0.4022 87.50 0.4120 74.23
500 0.9054 62.50 0.5913 75.10
510 0.5947 75.00 0.5194 73.71
520 0.6913 75.00 0.4601 74.18
530 0.5114 84.38 0.3743 75.90
540 0.6594 71.88 0.4169 73.61
550 0.8132 68.75 0.4860 72.16
560 0.8209 75.00 0.5350 74.81
570 0.8768 71.88 0.5571 73.47
580 0.6395 75.00 0.5158 73.87
590 0.7986 75.00 0.5155 71.54
600 0.7921 59.38 0.4986 72.13
610 0.9114 65.62 0.5564 73.86
620 0.8054 68.75 0.4619 74.01
630 0.8950 62.50 0.7005 74.59
640 0.9910 68.75 0.5859 73.67
650 0.6553 68.75 0.4290 71.30
660 0.7788 71.88 0.4143 72.90
670 0.6728 81.25 0.5389 73.23
680 0.7298 75.00 0.4975 71.85
690 0.7834 68.75 0.4522 72.35
700 0.6123 71.88 0.5066 73.62
710 0.9619 56.25 0.6666 75.95
720 0.7286 78.12 0.5442 74.39
730 0.6907 71.88 0.5194 72.26
740 0.7438 68.75 0.5526 71.34
