batch class_loss class_acc conf_loss conf
0 0.8626 68.75 0.4176 74.17
10 0.2504 96.88 0.3105 76.39
20 0.6301 71.88 0.4116 72.57
30 0.5623 71.88 0.4243 75.45
40 0.5421 81.25 0.3591 75.55
50 0.8854 75.00 0.5783 76.48
60 0.7047 75.00 0.5142 75.16
70 0.4780 87.50 0.3534 72.74
80 0.5592 78.12 0.4114 72.01
90 0.5353 81.25 0.3823 71.85
100 1.1400 59.38 0.5858 73.64
110 0.7403 71.88 0.4785 76.29
120 0.5646 84.38 0.3568 75.80
130 0.4761 84.38 0.3406 75.18
140 0.6755 75.00 0.3327 75.95
150 0.5907 75.00 0.3550 73.01
160 0.4452 84.38 0.3374 76.28
170 0.5984 75.00 0.4451 72.94
180 0.8367 59.38 0.5014 71.68
190 0.5755 71.88 0.3268 75.62
200 0.4885 84.38 0.3271 75.50
210 0.5796 75.00 0.3407 74.22
220 0.4959 78.12 0.3675 74.73
230 0.5209 75.00 0.4547 78.48
240 0.5728 71.88 0.4615 77.39
250 0.5168 84.38 0.3550 75.23
260 0.5850 75.00 0.3600 72.90
270 0.7310 65.62 0.5982 76.15
280 0.7327 78.12 0.4682 76.49
290 0.4551 84.38 0.2875 77.99
300 0.5044 81.25 0.3405 77.48
310 0.6487 68.75 0.5120 76.03
320 0.6744 71.88 0.5163 75.94
330 0.4882 78.12 0.4530 77.13
340 0.6825 68.75 0.4914 76.08
350 0.4938 81.25 0.4414 74.84
360 0.5524 81.25 0.3580 74.58
370 0.6992 78.12 0.3979 75.23
380 0.5641 81.25 0.3711 77.77
390 0.7039 71.88 0.5052 75.70
400 0.8353 68.75 0.4682 76.13
410 0.5952 75.00 0.3599 75.92
420 0.4844 81.25 0.3493 73.34
430 0.6389 71.88 0.5384 75.59
440 0.7873 71.88 0.5553 75.47
450 0.7009 68.75 0.4089 78.87
460 0.5232 71.88 0.5010 76.24
470 0.5670 81.25 0.4152 76.36
480 0.6082 71.88 0.5400 76.17
490 0.5385 75.00 0.3723 76.54
500 0.6865 71.88 0.4873 77.05
510 0.6833 71.88 0.3958 76.45
520 0.5603 78.12 0.4502 76.70
530 0.5307 81.25 0.3632 76.17
540 0.5986 75.00 0.4955 73.62
550 0.5725 78.12 0.4192 75.25
560 0.7904 62.50 0.6538 75.28
570 0.5038 75.00 0.3271 73.93
580 0.3793 90.62 0.3845 74.33
590 0.5763 81.25 0.3537 75.43
600 0.8731 62.50 0.4777 74.30
610 0.7528 71.88 0.3859 74.25
620 0.6849 71.88 0.3670 74.11
630 0.6569 75.00 0.5741 74.00
640 0.7492 65.62 0.6005 77.15
650 0.7444 65.62 0.3652 75.51
660 0.6877 68.75 0.4336 76.21
670 0.5777 78.12 0.4390 74.63
680 0.6316 75.00 0.4775 75.35
690 0.5500 87.50 0.3796 76.34
700 0.8382 75.00 0.5489 74.12
710 0.7268 75.00 0.4667 75.97
720 0.8038 65.62 0.5118 76.07
730 0.5022 84.38 0.3614 75.35
740 0.8500 65.62 0.5910 76.83
