batch class_loss class_acc conf_loss conf
0 1.0676 65.62 0.4927 61.98
10 1.0518 68.75 0.5205 62.89
20 1.2166 62.50 0.4655 62.94
30 1.0062 59.38 0.6806 66.13
40 1.0393 53.12 0.5901 64.81
50 1.1356 62.50 0.5916 62.71
60 1.0462 65.62 0.4520 63.74
70 0.6828 81.25 0.4673 65.27
80 0.7638 78.12 0.3341 70.90
90 1.3768 46.88 0.5448 66.71
100 0.8374 68.75 0.4456 61.64
110 1.1527 59.38 0.4889 59.45
120 0.8475 71.88 0.3847 64.46
130 1.0705 62.50 0.4771 62.30
140 1.1682 53.12 0.4431 62.09
150 0.8677 71.88 0.4171 62.93
160 0.9513 68.75 0.4437 63.14
170 0.9804 65.62 0.3471 62.79
180 0.9385 65.62 0.3839 65.40
190 0.8656 71.88 0.4798 65.36
200 0.9102 68.75 0.4791 60.83
210 1.2653 65.62 0.5067 61.32
220 1.1791 59.38 0.6260 57.70
230 1.1135 68.75 0.4457 64.46
240 0.9538 75.00 0.4828 64.77
250 1.4201 56.25 0.5324 63.74
260 1.5521 46.88 0.5173 62.21
270 1.1462 65.62 0.4576 60.88
280 1.2311 59.38 0.4479 60.42
290 1.1370 65.62 0.3941 63.99
300 0.9413 71.88 0.4942 65.12
310 1.1884 65.62 0.4522 65.75
320 1.5197 56.25 0.5429 65.14
330 0.9610 71.88 0.4862 63.44
340 0.7826 71.88 0.3950 65.77
350 1.1061 62.50 0.4295 63.02
360 1.2675 53.12 0.5327 62.12
370 0.9794 65.62 0.4205 60.97
380 0.9183 78.12 0.4450 61.67
390 1.1633 53.12 0.4662 59.85
400 1.4660 43.75 0.4333 59.21
410 0.8051 78.12 0.4526 63.39
420 0.8585 71.88 0.3932 63.02
430 1.0622 62.50 0.4402 63.36
440 1.2396 71.88 0.6601 60.90
450 1.3855 56.25 0.7060 60.95
460 0.9802 62.50 0.4540 60.53
470 1.2570 53.12 0.4496 63.69
480 0.8193 68.75 0.4735 66.48
490 1.0711 62.50 0.5192 61.59
500 1.6850 46.88 0.6903 68.64
510 1.3174 53.12 0.4384 62.78
520 0.7573 75.00 0.4262 66.30
530 1.0770 56.25 0.5577 63.97
540 1.1242 62.50 0.5317 65.32
550 1.3617 43.75 0.5654 61.37
560 0.8531 78.12 0.5256 63.13
570 1.3002 56.25 0.5067 62.27
580 0.8097 71.88 0.4919 63.90
590 1.1876 56.25 0.5104 58.76
600 1.2923 62.50 0.5557 59.99
610 0.8268 71.88 0.4443 60.14
620 1.0500 65.62 0.3788 63.13
