batch class_loss class_acc conf_loss conf
0 0.8668 65.62 0.5558 61.98
10 1.0214 62.50 0.4092 62.14
20 0.9176 62.50 0.4314 58.15
30 1.0429 68.75 0.5979 55.43
40 0.9291 65.62 0.4346 59.86
50 0.9249 62.50 0.5171 62.66
60 1.1166 65.62 0.4525 64.31
70 1.0771 53.12 0.4131 61.39
80 1.2105 62.50 0.4879 61.05
90 0.8952 71.88 0.4205 62.81
100 1.0844 62.50 0.3903 59.34
110 0.9536 56.25 0.3707 57.89
120 0.8998 68.75 0.5550 64.44
130 1.1998 62.50 0.5608 65.70
140 0.7480 75.00 0.4929 60.87
150 1.2785 59.38 0.5142 65.97
160 1.0254 62.50 0.4804 62.22
170 0.7721 65.62 0.4341 62.75
180 1.2950 53.12 0.4592 62.96
190 1.2330 50.00 0.4335 55.25
200 1.1585 56.25 0.4081 61.73
210 1.4449 50.00 0.6644 61.95
220 1.2705 71.88 0.4891 67.23
230 1.1845 65.62 0.5214 64.19
240 1.2022 59.38 0.5082 64.33
250 1.0095 59.38 0.3522 66.54
260 0.6904 81.25 0.4350 64.78
270 1.3559 53.12 0.6108 62.41
280 1.7398 37.50 0.6624 62.74
290 1.0283 59.38 0.5359 57.81
300 1.1269 56.25 0.4707 61.10
310 1.0241 62.50 0.4233 60.46
320 1.2363 56.25 0.5808 60.93
330 1.1582 53.12 0.4263 58.44
340 0.8910 59.38 0.4660 62.72
350 0.9370 68.75 0.4989 61.60
360 1.1099 65.62 0.5226 61.19
370 1.2892 59.38 0.5064 59.67
380 1.2611 62.50 0.5429 62.23
390 1.2967 53.12 0.4864 62.91
400 0.7134 84.38 0.4640 60.68
410 1.0384 68.75 0.4425 58.19
420 0.9118 59.38 0.5019 65.33
430 1.3376 43.75 0.7376 63.97
440 1.0807 56.25 0.3231 60.12
450 0.9216 68.75 0.3007 61.69
460 0.9068 59.38 0.3899 59.54
470 1.2415 56.25 0.4336 66.10
480 1.0467 62.50 0.6257 64.65
490 0.9500 65.62 0.5351 64.11
500 0.7295 71.88 0.4971 63.38
510 1.2097 56.25 0.3498 58.99
520 1.1572 62.50 0.4694 59.35
530 0.9290 62.50 0.5763 61.93
540 1.2935 56.25 0.4598 61.05
550 0.8951 75.00 0.4695 62.03
560 1.0626 65.62 0.5072 61.61
570 1.3160 56.25 0.4535 63.12
580 1.1091 56.25 0.4758 63.09
590 1.2831 53.12 0.3701 59.60
600 1.2053 65.62 0.6079 61.44
610 1.1151 65.62 0.4068 63.00
620 0.9551 68.75 0.3536 64.11
630 1.4301 46.88 0.6239 61.86
640 1.2749 53.12 0.5531 61.97
650 1.2384 62.50 0.4450 58.80
660 1.1111 65.62 0.4927 58.94
670 1.2674 50.00 0.4984 58.11
680 1.5803 50.00 0.6472 64.34
690 0.9390 65.62 0.3802 65.26
700 1.1416 59.38 0.3753 59.19
710 1.0267 62.50 0.4331 61.74
720 1.1477 68.75 0.5931 61.04
730 1.0750 65.62 0.5516 60.58
740 1.2487 53.12 0.5783 60.30
750 0.8755 71.88 0.4478 59.64
760 1.3430 53.12 0.4815 59.71
770 1.5147 40.62 0.7068 62.21
780 1.0199 59.38 0.5367 60.77
790 1.1725 65.62 0.5106 61.52
800 1.1431 65.62 0.5593 61.36
810 1.2104 56.25 0.5748 59.85
820 1.2643 43.75 0.5291 57.82
830 0.8787 78.12 0.5600 62.79
840 0.9421 65.62 0.3979 61.73
850 1.0237 62.50 0.4322 63.24
860 0.9456 68.75 0.4869 62.76
870 0.9536 68.75 0.6477 60.93
880 0.9931 65.62 0.4340 62.23
890 0.8209 71.88 0.4459 63.21
900 0.8136 78.12 0.4335 65.15
910 1.1803 53.12 0.6343 65.89
920 0.9132 68.75 0.4140 65.43
930 1.0146 65.62 0.3740 64.01
940 1.1001 59.38 0.4232 64.00
950 0.9173 59.38 0.3437 62.32
960 0.9047 71.88 0.3350 63.68
970 0.9502 65.62 0.6638 64.21
980 1.4905 53.12 0.6883 62.98
990 0.8347 71.88 0.3950 64.91
1000 0.9444 68.75 0.3246 66.58
1010 1.2274 56.25 0.4390 60.52
1020 1.4090 56.25 0.5031 58.41
