batch class_loss class_acc conf_loss conf
0 0.8881 75.00 0.4894 56.64
10 1.2304 53.12 0.6495 63.33
20 0.9457 71.88 0.6174 62.55
30 1.1573 56.25 0.5001 59.17
40 1.2128 59.38 0.4335 57.57
50 1.1716 59.38 0.4897 58.86
60 1.4090 56.25 0.4843 59.78
70 0.9955 68.75 0.5219 62.85
80 1.5805 37.50 0.7191 61.14
90 1.1741 56.25 0.5199 57.27
100 1.5277 40.62 0.4701 57.85
110 1.2867 53.12 0.4780 56.66
120 1.0578 68.75 0.5736 56.15
130 0.9390 65.62 0.5217 56.92
140 0.7330 78.12 0.5066 57.41
150 0.9425 71.88 0.6339 57.87
160 1.2429 59.38 0.4513 60.19
170 0.8510 68.75 0.4330 62.51
180 1.4081 56.25 0.5683 63.40
190 0.9678 65.62 0.4420 64.56
200 0.9373 68.75 0.5265 63.25
210 1.2251 53.12 0.5019 61.37
220 1.4124 50.00 0.5938 59.87
230 1.1995 56.25 0.5961 58.67
240 1.1877 59.38 0.4868 56.12
250 1.0586 62.50 0.4595 59.38
260 1.2398 65.62 0.6178 62.76
270 1.6584 37.50 0.6069 59.84
280 1.0729 62.50 0.6007 59.57
290 1.2211 62.50 0.5889 59.60
300 0.8375 65.62 0.5297 55.58
310 1.5717 53.12 0.6104 57.03
320 0.9545 68.75 0.5034 59.77
330 1.2891 53.12 0.5048 63.73
340 1.2380 59.38 0.5767 61.97
350 1.1685 65.62 0.6013 61.52
360 0.7725 75.00 0.4578 60.26
370 1.3898 50.00 0.4969 60.54
380 0.9319 71.88 0.4761 58.87
390 0.9218 71.88 0.5113 59.32
400 1.3383 59.38 0.5909 62.49
410 1.5122 40.62 0.5593 58.21
420 0.9301 75.00 0.4998 58.53
430 1.2106 59.38 0.5190 61.76
440 1.4716 40.62 0.4750 57.60
450 1.0798 68.75 0.5648 59.07
460 1.1302 62.50 0.5068 65.14
470 1.1641 62.50 0.4355 61.27
480 1.3353 59.38 0.4124 63.37
490 1.4036 56.25 0.4390 61.40
500 1.3788 56.25 0.5257 60.12
510 1.3003 62.50 0.6321 63.00
520 1.1925 59.38 0.5468 62.58
530 1.5610 50.00 0.6926 57.85
540 1.0274 62.50 0.4297 59.78
550 0.8558 75.00 0.4893 55.47
560 0.9669 71.88 0.4356 56.51
570 1.2904 50.00 0.4946 60.67
580 1.3473 50.00 0.6316 60.27
590 0.8948 68.75 0.4467 59.60
600 1.3032 46.88 0.4723 57.61
610 1.2231 46.88 0.5142 60.21
620 1.3324 65.62 0.5575 57.16
630 1.2152 65.62 0.5684 56.25
640 1.1022 56.25 0.5242 58.82
650 1.5247 50.00 0.5368 57.24
660 1.0290 71.88 0.5493 59.87
670 1.1634 62.50 0.4223 60.48
680 1.1101 56.25 0.5114 58.61
690 1.0602 62.50 0.5985 55.84
700 0.8965 62.50 0.3731 59.56
710 1.1830 59.38 0.4867 60.95
720 0.9253 71.88 0.5442 57.44
730 1.0722 65.62 0.5851 61.47
740 1.2538 62.50 0.6747 60.49
750 1.1420 68.75 0.5861 61.94
760 0.9849 68.75 0.4335 59.31
770 1.3748 53.12 0.6117 59.81
780 1.1036 68.75 0.5164 58.09
790 1.1179 56.25 0.4569 60.44
800 1.0873 65.62 0.4050 62.95
810 0.9244 71.88 0.4373 64.72
820 1.2453 62.50 0.5567 62.27
830 1.2811 59.38 0.6653 63.27
840 1.3190 56.25 0.4974 61.72
850 1.2865 50.00 0.5754 62.34
860 1.1659 65.62 0.6324 58.82
870 1.5385 46.88 0.6409 58.00
880 1.1088 53.12 0.4081 59.74
890 1.1876 59.38 0.4053 62.57
900 0.9881 65.62 0.6478 61.68
910 0.9401 75.00 0.5480 57.52
920 1.2088 56.25 0.5441 61.98
930 1.0475 65.62 0.4401 63.65
940 1.1068 56.25 0.5275 63.72
950 1.0512 65.62 0.4993 60.79
960 1.0132 59.38 0.4150 59.11
970 0.7731 81.25 0.5038 60.59
980 0.9295 68.75 0.4804 60.26
990 1.0915 62.50 0.6174 60.09
1000 0.9707 68.75 0.3824 58.81
1010 1.0492 68.75 0.4242 58.37
1020 1.1143 65.62 0.4952 60.77
1030 1.5785 46.88 0.6160 58.84
1040 1.0228 62.50 0.5216 62.27
1050 1.4372 46.88 0.6427 61.32
1060 0.9902 62.50 0.4879 63.06
1070 1.2547 59.38 0.5917 63.20
1080 1.7376 53.12 0.6689 59.17
1090 1.0047 65.62 0.4500 55.90
1100 1.4170 46.88 0.7958 64.84
1110 1.2596 62.50 0.4414 64.23
1120 1.1757 59.38 0.6931 62.94
1130 1.5244 40.62 0.7672 59.69
1140 1.0802 56.25 0.4710 59.85
1150 1.2250 59.38 0.5154 57.96
1160 1.2761 50.00 0.4747 60.80
1170 1.0990 62.50 0.4169 61.97
1180 1.0269 65.62 0.4231 62.85
1190 1.1263 68.75 0.4663 64.91
1200 1.1250 53.12 0.6053 62.13
1210 0.9773 65.62 0.5139 60.33
1220 0.9033 68.75 0.5684 64.24
1230 0.9128 68.75 0.3674 62.85
1240 0.9398 62.50 0.4682 63.11
1250 1.1902 59.38 0.4657 61.22
1260 1.1748 62.50 0.4269 62.40
1270 0.9687 68.75 0.3627 62.85
1280 1.0794 62.50 0.4727 60.51
1290 1.0807 68.75 0.6322 61.98
1300 1.0939 65.62 0.5510 61.36
1310 1.2931 56.25 0.5090 62.84
1320 1.2315 59.38 0.6378 63.60
1330 1.2393 53.12 0.4605 59.11
1340 1.3033 56.25 0.4656 60.70
1350 1.0319 65.62 0.5270 63.01
1360 1.2081 71.88 0.5309 64.64
1370 1.0409 65.62 0.4872 62.17
1380 0.8330 71.88 0.5032 59.66
1390 1.0653 53.12 0.3770 60.75
1400 1.1559 65.62 0.4780 60.76
1410 0.9320 68.75 0.3326 65.29
1420 1.1333 56.25 0.4767 60.25
1430 1.1204 62.50 0.5692 65.43
1440 1.0569 62.50 0.3884 61.54
1450 1.3513 53.12 0.5504 60.29
1460 1.0264 68.75 0.5223 57.04
1470 1.0537 56.25 0.5294 59.21
1480 0.9944 65.62 0.4190 57.56
1490 0.8551 68.75 0.4831 59.02
1500 1.3838 40.62 0.6294 59.17
1510 1.0883 56.25 0.5528 62.09
1520 0.8753 75.00 0.5234 59.84
1530 1.0172 65.62 0.5886 61.62
1540 1.5106 46.88 0.5665 63.40
1550 0.9005 68.75 0.4464 60.50
1560 1.1054 59.38 0.4013 60.76
1570 1.0396 62.50 0.5401 64.87
1580 1.2261 59.38 0.5501 64.13
1590 0.9445 68.75 0.4555 62.91
1600 0.8325 68.75 0.3041 65.77
1610 1.2290 59.38 0.4227 59.76
1620 1.3654 59.38 0.5682 59.97
1630 0.9748 68.75 0.4158 61.12
1640 1.1845 56.25 0.4808 63.32
1650 0.9902 65.62 0.4603 63.60
1660 1.3205 56.25 0.5250 64.79
1670 1.2414 50.00 0.5937 62.22
1680 1.0980 56.25 0.5827 60.73
1690 1.3536 50.00 0.5725 58.42
1700 1.2162 62.50 0.7319 58.80
1710 0.8985 78.12 0.6335 60.40
1720 1.1368 68.75 0.5220 66.59
1730 0.9888 71.88 0.4483 60.45
1740 1.2956 50.00 0.4807 56.44
1750 1.0274 68.75 0.5651 58.75
1760 1.1623 62.50 0.4490 60.82
1770 1.5003 50.00 0.5221 59.29
1780 1.1526 59.38 0.4698 59.45
1790 0.9488 65.62 0.4607 63.40
1800 1.0358 62.50 0.5292 63.54
1810 1.3569 56.25 0.7023 60.88
1820 1.3623 43.75 0.5042 61.54
1830 0.9901 62.50 0.5214 58.54
1840 1.2744 53.12 0.5492 57.60
1850 1.3113 50.00 0.4545 55.58
1860 1.1326 59.38 0.5317 55.80
1870 1.1751 59.38 0.4689 56.59
