batch class_loss class_acc conf_loss conf
0 1.0935 65.62 0.5727 55.36
10 1.0680 71.88 0.5195 60.48
20 1.3661 62.50 0.5839 62.52
30 1.1008 68.75 0.4603 61.69
40 0.7672 87.50 0.5836 60.03
50 1.3510 53.12 0.5811 59.44
60 1.2496 53.12 0.5498 60.24
70 1.2251 59.38 0.4479 60.33
80 1.1139 59.38 0.4639 60.18
90 0.9423 65.62 0.4709 57.71
100 1.2319 59.38 0.7024 58.30
110 1.3495 53.12 0.5545 60.80
120 0.9039 68.75 0.5753 58.20
130 0.9708 65.62 0.4654 60.09
140 1.3963 56.25 0.6962 61.00
150 1.0641 56.25 0.4047 60.39
160 1.5077 46.88 0.5666 60.69
170 1.2376 50.00 0.3890 59.99
180 1.7641 43.75 0.5128 60.77
190 1.4847 40.62 0.6085 58.18
200 1.1445 65.62 0.5216 56.42
210 1.2387 53.12 0.6310 63.35
220 0.9622 65.62 0.4141 62.04
230 1.3247 56.25 0.5427 59.20
240 1.2941 53.12 0.6407 59.04
250 0.9195 71.88 0.5190 60.81
260 1.2339 62.50 0.5574 56.50
270 0.8864 65.62 0.3437 60.53
280 1.0474 62.50 0.6042 61.09
290 0.9249 68.75 0.5413 61.14
300 1.5801 46.88 0.6094 62.11
310 0.9626 65.62 0.3671 60.69
320 1.5758 43.75 0.6808 60.96
330 0.8856 65.62 0.4036 59.90
340 1.1125 56.25 0.5388 61.94
350 0.8587 71.88 0.5446 60.85
360 1.3843 59.38 0.5550 63.55
370 1.2721 59.38 0.5599 61.83
380 1.1082 59.38 0.4376 60.00
390 1.0944 62.50 0.5381 59.23
400 1.1994 53.12 0.5213 58.88
410 1.1204 62.50 0.4919 60.21
420 1.1315 71.88 0.6150 60.97
430 1.1595 59.38 0.5716 63.44
440 1.2841 56.25 0.5577 61.00
450 1.2178 59.38 0.4739 60.42
460 1.3027 65.62 0.4826 61.75
470 0.9706 59.38 0.5928 61.36
480 1.3148 56.25 0.7372 61.53
490 1.1866 68.75 0.5575 59.45
500 1.4789 53.12 0.6046 57.58
510 1.1843 62.50 0.6152 61.95
520 1.2613 50.00 0.4606 59.76
530 1.6190 40.62 0.6827 60.31
540 1.3952 53.12 0.5748 63.72
550 1.0158 71.88 0.5365 58.12
560 1.3091 62.50 0.4608 64.23
570 1.3353 59.38 0.7329 63.15
580 1.1544 56.25 0.5812 65.70
590 0.9024 62.50 0.5552 61.51
600 1.3850 50.00 0.6194 64.40
610 0.8826 68.75 0.4685 64.14
620 1.4495 59.38 0.6453 62.29
630 1.1697 62.50 0.3802 59.27
640 0.9428 62.50 0.4525 61.38
650 1.2303 59.38 0.5389 59.73
660 0.9844 68.75 0.5432 60.24
670 0.9601 71.88 0.4504 59.93
680 0.9831 78.12 0.6130 58.15
690 1.3831 59.38 0.7060 61.05
700 0.9013 68.75 0.6181 59.77
710 1.1036 62.50 0.4694 57.01
720 1.1853 62.50 0.6206 60.58
730 1.1034 56.25 0.4081 61.18
740 1.5262 43.75 0.6952 62.07
750 0.9934 65.62 0.5887 61.66
760 1.0875 53.12 0.5046 61.77
770 0.9201 62.50 0.4701 58.82
780 1.0200 59.38 0.5415 60.90
790 1.2574 59.38 0.5264 60.30
800 0.8853 68.75 0.4880 58.24
810 1.2030 59.38 0.4238 59.06
820 1.0507 62.50 0.4605 63.06
830 1.1532 56.25 0.4469 59.09
840 1.0637 65.62 0.5788 60.71
850 1.0331 62.50 0.5809 60.71
860 1.4510 46.88 0.4962 58.76
870 0.8659 75.00 0.4236 65.12
880 0.9063 68.75 0.3834 63.72
890 1.1754 53.12 0.5213 58.00
900 1.6582 43.75 0.7158 58.42
910 1.0672 71.88 0.5759 57.67
920 1.2281 56.25 0.5738 62.37
930 1.1614 59.38 0.5126 57.44
940 1.3876 43.75 0.4861 58.18
950 1.0477 56.25 0.5199 60.12
960 1.2342 62.50 0.4458 55.93
970 1.3109 53.12 0.5784 63.87
980 1.1080 56.25 0.3860 63.34
990 1.0282 62.50 0.4341 64.23
1000 1.2836 50.00 0.6056 64.25
1010 1.4595 50.00 0.5606 63.54
1020 1.2180 53.12 0.5845 62.67
1030 1.1693 56.25 0.5010 57.91
1040 1.1620 62.50 0.5490 62.25
1050 1.4625 43.75 0.5035 60.38
1060 1.3284 53.12 0.5002 59.72
1070 1.1738 53.12 0.4938 63.36
1080 1.1406 62.50 0.3796 59.58
1090 1.2391 68.75 0.5963 57.57
1100 0.8201 68.75 0.4939 58.11
1110 1.9309 40.62 0.5626 57.66
1120 1.2784 53.12 0.4697 57.91
1130 1.4591 50.00 0.5524 61.68
1140 1.1781 71.88 0.5176 62.60
1150 1.1271 59.38 0.5054 66.10
1160 1.0604 62.50 0.3628 66.50
1170 1.3317 62.50 0.4885 61.71
1180 1.0180 65.62 0.5095 58.66
1190 1.1203 65.62 0.5223 60.55
1200 1.6755 50.00 0.7270 62.90
1210 0.7743 71.88 0.4391 58.34
1220 1.2392 56.25 0.5624 57.08
1230 1.1905 59.38 0.5284 59.23
1240 1.0273 59.38 0.5425 61.12
1250 1.0082 62.50 0.4351 58.97
1260 1.0470 59.38 0.5004 55.05
1270 1.3633 53.12 0.4953 59.69
1280 1.1478 59.38 0.4331 61.06
1290 1.2405 56.25 0.5713 60.45
1300 0.7387 75.00 0.4373 64.71
1310 1.2533 43.75 0.6065 62.59
1320 0.8936 75.00 0.4894 59.87
1330 0.8040 78.12 0.4994 58.60
1340 1.1497 59.38 0.5358 60.38
1350 1.1724 59.38 0.3818 56.43
1360 1.1110 59.38 0.4349 62.54
1370 0.8306 68.75 0.4399 61.95
1380 0.9356 62.50 0.4213 60.22
1390 1.4842 56.25 0.6661 59.25
1400 1.0271 65.62 0.5289 61.03
1410 1.3418 50.00 0.5043 63.68
1420 1.2918 59.38 0.6046 65.51
1430 1.0335 65.62 0.5222 61.29
1440 0.8348 62.50 0.4655 63.17
1450 1.2609 50.00 0.6631 63.70
1460 1.4000 40.62 0.6054 56.79
1470 1.1505 53.12 0.4427 58.64
1480 1.2536 62.50 0.4751 61.47
1490 1.2203 56.25 0.5824 64.26
1500 1.1511 59.38 0.5050 63.69
1510 1.0222 65.62 0.4977 59.47
1520 1.0663 68.75 0.4890 62.12
1530 1.1899 56.25 0.7926 67.42
1540 1.2542 53.12 0.6535 62.27
1550 0.9613 65.62 0.3610 60.32
1560 0.9911 62.50 0.5717 62.39
1570 1.0606 56.25 0.5443 62.75
1580 1.0944 59.38 0.4755 59.71
1590 1.0958 62.50 0.5157 59.78
1600 1.0603 68.75 0.5747 60.91
1610 1.2010 59.38 0.3787 57.77
1620 1.5011 56.25 0.6358 63.26
1630 0.7932 71.88 0.5255 59.46
1640 1.1449 59.38 0.5047 61.62
1650 1.0193 59.38 0.4650 66.03
1660 0.8830 75.00 0.4277 64.52
1670 0.9557 71.88 0.4863 63.04
1680 1.0596 68.75 0.5373 63.34
1690 1.1699 53.12 0.5149 62.36
1700 1.3701 53.12 0.5625 62.89
1710 1.0778 68.75 0.4671 62.67
1720 1.0129 65.62 0.5263 63.31
1730 1.0079 75.00 0.6048 64.43
1740 1.1053 53.12 0.3868 61.11
1750 1.1481 62.50 0.4922 62.07
1760 1.4911 43.75 0.4867 60.28
1770 1.0701 65.62 0.3784 60.25
1780 1.2868 53.12 0.5034 57.74
1790 1.0317 59.38 0.3935 61.19
1800 1.1225 56.25 0.5051 60.71
1810 1.2583 65.62 0.5346 60.36
1820 0.8566 78.12 0.4688 62.75
1830 0.9234 68.75 0.3916 62.62
1840 0.9443 71.88 0.4701 63.69
1850 1.0136 71.88 0.5424 63.29
1860 1.5745 59.38 0.5989 59.92
1870 1.1068 65.62 0.4644 59.07
