batch class_loss class_acc conf_loss conf
0 0.7708 71.88 0.4372 78.23
10 0.6402 78.12 0.4279 78.20
20 0.5690 78.12 0.3960 75.47
30 0.5415 78.12 0.3335 78.44
40 0.4528 84.38 0.2945 79.27
50 0.6503 68.75 0.4351 79.72
60 0.5503 71.88 0.3661 76.49
70 0.5290 84.38 0.4756 77.10
80 0.5146 81.25 0.3434 78.31
90 0.3600 87.50 0.2886 78.67
100 0.6242 75.00 0.4869 80.67
110 0.5447 81.25 0.3637 78.89
120 0.4111 84.38 0.3770 76.40
130 0.6182 68.75 0.5348 78.22
140 0.6220 65.62 0.5036 74.40
150 0.5937 68.75 0.4119 76.99
160 0.4131 84.38 0.2824 77.36
170 0.4598 78.12 0.3301 76.55
180 0.5242 75.00 0.3744 77.83
190 0.5653 71.88 0.3866 76.30
200 0.6431 75.00 0.3641 75.45
210 0.3464 81.25 0.4107 77.43
220 0.6132 71.88 0.5074 77.75
230 0.4830 75.00 0.3025 78.73
240 0.4465 78.12 0.2955 78.25
250 0.3801 81.25 0.3142 75.89
260 0.7461 71.88 0.4933 75.90
270 0.5775 75.00 0.4583 77.56
280 0.6026 81.25 0.4333 80.38
290 0.7921 65.62 0.6002 79.08
300 0.5569 78.12 0.3757 78.38
310 0.7629 62.50 0.4586 74.78
320 0.5255 78.12 0.4269 80.00
330 0.8497 65.62 0.5933 74.93
340 0.6585 71.88 0.4909 80.14
350 0.3777 81.25 0.4108 77.95
360 0.6868 71.88 0.4637 78.59
370 0.5912 78.12 0.4499 78.68
380 0.4417 84.38 0.3558 78.36
390 0.4830 81.25 0.3206 77.92
400 0.5039 84.38 0.3698 76.90
410 0.7236 78.12 0.4432 78.72
420 0.5290 81.25 0.4211 78.32
430 0.8227 56.25 0.7769 78.78
440 0.4436 84.38 0.2878 77.92
450 0.3473 87.50 0.3134 78.62
460 0.6838 75.00 0.3668 78.32
470 0.4941 84.38 0.3720 78.25
480 0.6757 71.88 0.4593 75.49
490 0.7131 71.88 0.4305 76.19
500 0.4322 75.00 0.3543 79.21
510 0.6000 75.00 0.3886 75.80
520 0.5576 78.12 0.3914 76.25
530 0.2953 90.62 0.2758 81.11
540 0.5371 75.00 0.3490 75.86
550 0.6021 78.12 0.4346 78.78
560 0.5347 75.00 0.4798 75.42
570 0.3868 87.50 0.3353 78.99
580 0.4168 84.38 0.6149 79.61
590 0.5252 75.00 0.4460 79.23
600 0.8851 68.75 0.5617 78.82
610 0.4975 75.00 0.3039 76.28
620 0.5787 78.12 0.3431 77.20
630 0.5878 81.25 0.3605 80.14
640 0.7181 75.00 0.5320 76.76
650 0.6853 75.00 0.4484 74.68
660 0.6396 71.88 0.5277 78.70
670 1.0380 53.12 0.6509 74.77
680 0.4741 84.38 0.4713 78.85
690 0.4863 75.00 0.4782 78.49
700 0.5772 75.00 0.3914 76.93
710 0.5480 81.25 0.3645 76.27
720 0.3298 87.50 0.2469 80.28
730 0.3891 84.38 0.2718 80.37
740 0.5389 87.50 0.3697 78.08
