batch class_loss class_acc conf_loss conf
0 0.8516 71.88 0.4562 60.10
10 1.2337 65.62 0.5327 64.64
20 1.4729 46.88 0.5783 65.65
30 1.0369 75.00 0.5336 64.37
40 1.4282 46.88 0.6493 60.96
50 1.3047 59.38 0.4886 61.89
60 1.2737 59.38 0.4988 63.77
70 1.1053 59.38 0.5874 64.47
80 1.1871 53.12 0.7010 66.56
90 1.1321 65.62 0.4285 61.57
100 0.9237 68.75 0.5707 57.99
110 0.8927 65.62 0.5270 59.79
120 0.9549 78.12 0.4715 61.63
130 1.1390 62.50 0.5527 61.33
140 0.7617 81.25 0.4680 62.33
150 1.1285 59.38 0.4062 62.11
160 0.8964 65.62 0.4918 60.64
170 1.2396 56.25 0.4937 59.05
180 1.1729 53.12 0.3521 61.75
190 1.1473 59.38 0.4437 60.82
200 1.3167 46.88 0.4950 62.34
210 1.0600 59.38 0.5364 57.88
220 0.7684 68.75 0.3899 61.05
230 0.9302 68.75 0.6729 58.65
240 0.9726 71.88 0.4330 60.32
250 1.0962 65.62 0.5146 64.48
260 1.1273 50.00 0.5208 67.41
270 1.1812 56.25 0.5522 64.04
280 1.6257 53.12 0.7077 58.68
290 0.8881 65.62 0.4881 62.05
300 1.3347 46.88 0.5823 63.51
310 0.9321 68.75 0.5337 62.99
320 1.0721 71.88 0.3801 62.06
330 1.3614 50.00 0.5653 65.49
340 0.9769 59.38 0.4692 64.10
350 0.9495 68.75 0.5147 65.99
360 0.8573 68.75 0.5475 59.89
370 1.1692 56.25 0.3505 60.38
380 1.0705 62.50 0.5434 62.19
390 0.9495 71.88 0.5425 62.93
400 1.0440 62.50 0.4846 59.40
410 1.4116 43.75 0.4842 61.67
420 0.5863 87.50 0.4924 62.97
430 1.1106 62.50 0.5366 62.17
440 1.2181 53.12 0.4751 60.56
450 0.9380 68.75 0.4281 60.86
460 1.1644 56.25 0.5044 60.81
470 1.3415 56.25 0.4066 62.95
480 1.0904 62.50 0.6001 60.13
490 1.0437 65.62 0.6213 63.11
500 1.0090 53.12 0.6668 66.88
510 0.9042 65.62 0.4360 59.89
520 0.9045 65.62 0.5695 65.13
530 1.3390 50.00 0.5624 59.67
540 1.0541 62.50 0.6030 62.57
550 1.3995 50.00 0.5591 55.03
560 0.9544 65.62 0.5557 60.50
570 1.1006 56.25 0.6612 60.16
580 0.9885 68.75 0.4215 58.62
590 1.0386 65.62 0.5651 59.24
600 1.1315 53.12 0.4384 62.32
610 0.7268 75.00 0.4045 66.95
620 1.1864 62.50 0.5437 63.25
630 1.3421 59.38 0.5144 64.03
640 1.3824 65.62 0.5965 66.50
650 1.6194 40.62 0.5564 63.09
660 0.9417 68.75 0.4706 63.01
670 1.1331 62.50 0.3850 61.63
680 1.2681 68.75 0.5352 61.81
690 1.0353 62.50 0.5547 63.06
700 1.2447 62.50 0.6312 62.51
710 0.9098 71.88 0.4223 64.47
720 1.2288 50.00 0.4142 61.35
730 1.2724 59.38 0.6247 60.84
740 1.4410 43.75 0.5852 60.10
750 1.1107 62.50 0.4896 59.85
760 0.8902 71.88 0.5182 58.82
770 1.3505 56.25 0.5621 61.12
780 0.9847 68.75 0.3561 62.36
790 1.2399 56.25 0.5769 64.57
800 0.9859 59.38 0.4591 58.45
810 0.9021 68.75 0.6535 58.16
820 0.9857 65.62 0.6722 57.65
830 1.1331 53.12 0.4397 58.50
840 1.2247 59.38 0.5115 60.43
850 1.1957 53.12 0.4674 59.46
860 0.8042 71.88 0.4445 64.00
870 1.2970 50.00 0.5636 63.26
880 1.0786 56.25 0.3507 66.46
890 0.9622 71.88 0.4848 65.44
900 1.0628 68.75 0.3502 65.66
910 0.9866 62.50 0.5492 62.42
920 1.1849 56.25 0.6622 61.06
930 1.1956 62.50 0.4739 58.24
940 0.8385 71.88 0.4590 66.05
950 1.5364 43.75 0.6524 63.75
960 1.2951 59.38 0.6516 61.47
970 1.0701 56.25 0.4299 58.55
980 1.1547 56.25 0.6117 60.28
990 1.2084 62.50 0.5448 57.83
1000 1.4725 46.88 0.5064 66.24
1010 0.9840 65.62 0.3403 66.82
1020 1.1856 62.50 0.4470 66.88
1030 1.0983 53.12 0.5624 67.54
1040 1.2685 62.50 0.5588 63.68
1050 0.9320 65.62 0.4767 61.08
1060 0.8329 68.75 0.3484 64.45
1070 1.0527 65.62 0.3671 61.58
1080 1.0306 62.50 0.5053 64.40
1090 1.4213 56.25 0.5193 64.39
1100 1.0927 53.12 0.4315 63.44
1110 1.2144 65.62 0.4908 64.15
1120 0.9340 62.50 0.4188 64.04
1130 0.9798 68.75 0.6226 67.89
1140 0.9868 75.00 0.5341 63.25
1150 1.2222 56.25 0.3146 64.62
1160 1.0311 68.75 0.5581 60.99
1170 1.4134 59.38 0.4940 63.40
1180 1.6903 43.75 0.4778 58.98
1190 1.2134 59.38 0.4812 57.91
1200 1.0234 62.50 0.5477 60.45
1210 1.3186 62.50 0.5299 64.14
1220 0.8772 68.75 0.3128 63.47
1230 1.5114 50.00 0.4834 61.72
1240 1.0660 62.50 0.6184 61.85
1250 1.2234 62.50 0.6655 56.62
1260 1.1244 68.75 0.4582 66.46
1270 0.7556 68.75 0.3619 63.56
1280 1.5961 46.88 0.7044 66.43
1290 1.3173 53.12 0.4762 68.25
1300 1.1517 62.50 0.3917 62.07
1310 0.9687 65.62 0.4100 60.04
1320 0.8814 71.88 0.5328 59.45
1330 1.3922 50.00 0.5505 63.28
1340 1.3837 46.88 0.4799 59.91
1350 0.7848 68.75 0.4942 67.85
1360 1.1829 53.12 0.4326 61.19
1370 1.2474 50.00 0.6107 62.45
1380 1.1629 68.75 0.6063 62.05
1390 1.1465 62.50 0.3835 58.06
1400 0.9728 68.75 0.5253 62.48
1410 0.8055 68.75 0.4029 59.05
1420 1.1771 56.25 0.3284 62.59
1430 1.2997 56.25 0.3725 61.76
1440 1.4380 46.88 0.5535 65.34
1450 1.0259 65.62 0.3725 58.02
1460 0.7652 81.25 0.4992 62.75
1470 0.9577 71.88 0.5977 63.63
1480 1.4171 53.12 0.5863 60.51
1490 0.9329 62.50 0.5300 63.99
1500 1.2714 68.75 0.6589 60.37
1510 0.7546 65.62 0.3814 65.21
1520 0.9325 71.88 0.4917 59.93
1530 1.2908 53.12 0.5966 62.74
1540 1.2806 62.50 0.5312 59.00
1550 1.1053 62.50 0.5322 65.47
1560 1.2093 65.62 0.4706 64.30
1570 1.2478 59.38 0.4422 61.95
1580 1.0840 56.25 0.4378 61.74
1590 1.2123 59.38 0.3655 61.87
1600 0.9082 68.75 0.4307 64.52
1610 0.9463 71.88 0.3903 62.60
1620 1.4581 56.25 0.5778 62.75
1630 1.2966 56.25 0.5162 60.71
1640 0.8784 71.88 0.4669 63.86
1650 1.4945 53.12 0.4755 59.67
1660 1.3112 62.50 0.5470 62.53
1670 1.2147 53.12 0.5137 60.42
1680 1.1216 56.25 0.5335 62.71
1690 1.1127 59.38 0.4478 56.88
1700 0.8512 78.12 0.5150 63.73
1710 0.8525 75.00 0.3754 61.48
1720 0.9712 65.62 0.4439 63.17
1730 1.2279 59.38 0.5440 61.23
1740 0.6538 78.12 0.3984 66.15
1750 1.1598 59.38 0.5400 66.34
1760 0.8953 68.75 0.4560 62.90
1770 1.1675 62.50 0.3627 65.70
1780 1.2548 59.38 0.5991 62.32
1790 1.4177 46.88 0.5154 61.20
1800 0.8344 71.88 0.2477 64.73
1810 1.1496 59.38 0.4601 62.38
1820 0.8584 78.12 0.4761 63.39
1830 1.2679 53.12 0.4440 59.25
1840 0.9584 71.88 0.4263 59.28
1850 1.0666 53.12 0.5948 61.45
1860 1.0593 71.88 0.3977 62.25
1870 0.9178 68.75 0.6107 66.26
