batch class_loss class_acc conf_loss conf
0 0.4673 78.12 0.3802 78.71
10 0.3738 87.50 0.2860 80.61
20 0.8080 75.00 0.5041 82.38
30 0.6333 84.38 0.5335 78.34
40 0.6886 65.62 0.5489 81.57
50 0.4826 81.25 0.3032 80.00
60 0.3174 87.50 0.2771 78.85
70 0.3205 90.62 0.3708 76.64
80 0.5211 81.25 0.3691 80.23
90 0.5419 71.88 0.4015 79.54
100 0.4210 84.38 0.2804 78.00
110 0.4592 81.25 0.3123 79.76
120 0.5274 81.25 0.2928 79.88
130 0.5612 81.25 0.3530 77.45
140 0.3369 90.62 0.2722 79.57
150 0.4846 87.50 0.3489 77.09
160 0.6195 71.88 0.4327 79.47
170 0.5207 75.00 0.3476 76.06
180 0.5443 81.25 0.4003 78.72
190 0.3705 87.50 0.2999 79.44
200 0.3676 84.38 0.4023 77.80
210 0.5356 78.12 0.3246 82.48
220 0.5269 71.88 0.5569 77.88
230 0.5864 84.38 0.3774 81.09
240 0.7965 71.88 0.4373 78.81
250 0.5946 75.00 0.4316 79.79
260 0.6919 75.00 0.5082 80.50
270 0.7139 75.00 0.4915 81.42
280 0.3492 84.38 0.2142 81.18
290 0.4706 84.38 0.2935 81.45
300 0.4174 84.38 0.4040 80.33
310 0.7088 71.88 0.4845 81.14
320 0.7140 65.62 0.5354 79.78
330 0.4315 81.25 0.3168 82.85
340 0.4380 75.00 0.3877 78.09
350 0.4564 87.50 0.3329 80.17
360 0.5263 81.25 0.3380 76.69
370 0.5080 84.38 0.3145 78.54
380 0.7160 59.38 0.5212 77.17
390 0.5052 84.38 0.3629 78.33
400 0.5295 78.12 0.4025 76.63
410 0.5043 75.00 0.5065 79.49
420 0.4012 84.38 0.3092 81.10
430 0.7148 65.62 0.5720 76.67
440 0.6102 71.88 0.5388 80.44
450 0.6221 78.12 0.5340 78.86
460 0.5129 78.12 0.4330 78.94
470 0.4290 87.50 0.3058 78.29
480 0.5599 78.12 0.3523 79.88
490 0.4989 81.25 0.3285 77.50
500 0.2892 93.75 0.2766 79.25
510 0.5002 78.12 0.3072 79.19
520 0.6250 71.88 0.3937 78.81
530 0.4838 71.88 0.3564 81.50
540 0.6381 75.00 0.3459 79.25
550 0.2884 90.62 0.3015 79.46
560 0.7920 65.62 0.5454 78.61
570 0.7380 71.88 0.3810 73.95
580 0.6017 75.00 0.3172 76.37
590 0.5601 81.25 0.4862 80.69
600 0.5900 78.12 0.4104 79.94
610 0.4372 84.38 0.3420 78.39
620 0.5670 78.12 0.5210 78.92
630 0.5862 78.12 0.3248 79.91
640 0.7173 75.00 0.3253 79.74
650 0.2522 90.62 0.2355 81.82
660 0.4953 75.00 0.4717 77.84
670 0.6426 71.88 0.4687 79.33
680 0.5737 78.12 0.4406 76.19
690 0.4926 78.12 0.4108 79.81
700 0.7500 75.00 0.4033 79.11
710 0.5049 78.12 0.3870 78.69
720 0.7302 65.62 0.6024 80.81
730 0.3154 87.50 0.2798 80.86
740 0.7896 65.62 0.3692 78.23
