batch class_loss class_acc conf_loss conf
0 2.3042 12.50 0.6920 49.00
10 2.2406 15.62 0.4795 26.45
20 2.2901 15.62 0.4184 15.65
30 2.2498 31.25 0.7218 12.39
40 2.1965 34.38 0.7871 14.72
50 2.2834 15.62 0.4486 17.82
60 2.0519 40.62 0.8021 19.87
70 2.1054 43.75 0.7586 24.66
80 2.0012 28.12 0.5908 29.65
90 2.1014 15.62 0.4974 33.36
100 1.7577 43.75 0.7126 34.57
110 1.8879 28.12 0.6309 37.36
120 1.8208 40.62 0.6009 39.90
130 1.6881 43.75 0.6323 42.81
140 1.8082 40.62 0.6517 43.59
150 1.7548 34.38 0.5548 44.03
160 1.3805 62.50 0.6624 46.27
170 1.5680 50.00 0.6250 48.94
180 1.3266 59.38 0.6276 49.91
190 1.4808 56.25 0.5912 48.38
200 1.5999 43.75 0.5392 47.62
210 1.4780 43.75 0.7215 49.59
220 1.2511 50.00 0.6474 50.88
230 1.3763 56.25 0.6649 51.46
240 1.5825 43.75 0.5832 51.40
250 1.5845 46.88 0.5206 51.74
260 1.3112 53.12 0.6507 50.64
270 1.5161 46.88 0.5672 48.98
280 1.8147 34.38 0.6990 50.31
290 1.4304 40.62 0.5289 48.82
300 1.7348 40.62 0.6717 47.75
310 1.4012 46.88 0.5425 49.71
320 1.7326 43.75 0.5555 54.63
330 1.2736 56.25 0.5528 55.44
340 1.2213 62.50 0.5170 54.25
350 1.7477 34.38 0.6323 51.28
360 1.4521 53.12 0.7185 51.97
370 1.1289 56.25 0.6514 55.54
380 1.3513 43.75 0.6207 57.44
390 1.5372 50.00 0.5742 56.33
400 1.6174 37.50 0.4940 50.66
410 1.4668 46.88 0.5573 51.16
420 1.3203 56.25 0.5325 51.01
430 1.3609 50.00 0.5597 50.29
440 1.3574 43.75 0.5890 52.92
450 1.4374 46.88 0.6061 54.55
460 1.4440 40.62 0.5912 53.76
470 1.2929 62.50 0.5758 50.43
480 1.1663 65.62 0.6173 50.63
490 1.7561 56.25 0.6885 51.63
500 1.2146 62.50 0.4525 51.60
510 1.1680 53.12 0.4695 55.12
520 1.4245 53.12 0.6313 57.22
530 1.3060 59.38 0.6924 58.32
540 1.1877 62.50 0.6656 58.08
550 1.2057 59.38 0.4871 57.57
560 1.1638 65.62 0.6657 57.33
570 1.1052 65.62 0.6135 56.55
580 1.1614 56.25 0.5623 60.45
590 1.4883 50.00 0.6611 57.24
600 1.5261 56.25 0.5753 55.63
610 1.5599 46.88 0.5020 55.11
620 0.9755 65.62 0.5495 53.60
630 1.0862 62.50 0.5585 52.57
640 1.3755 56.25 0.5168 55.06
650 1.1595 62.50 0.6042 56.28
660 1.3933 43.75 0.5542 57.88
670 1.3782 53.12 0.6440 56.20
680 1.3180 46.88 0.6538 55.52
690 0.9723 75.00 0.5559 57.13
700 1.3185 56.25 0.5658 57.30
710 1.4860 46.88 0.5293 56.81
720 1.4801 40.62 0.4453 53.50
730 1.3247 46.88 0.5613 53.76
740 1.2678 59.38 0.5192 54.41
750 1.0581 56.25 0.5321 57.24
760 1.3524 56.25 0.5726 58.03
770 1.6582 43.75 0.6326 57.24
780 0.9740 75.00 0.5447 58.25
790 1.2925 56.25 0.7184 63.19
800 1.0302 65.62 0.4750 63.79
810 1.1819 56.25 0.6107 60.43
820 1.6130 46.88 0.5662 58.54
830 1.2885 53.12 0.5949 57.36
840 1.0865 65.62 0.5148 54.87
850 1.4797 50.00 0.4734 56.07
860 1.0296 68.75 0.4841 55.75
870 1.3697 59.38 0.5461 56.38
880 1.3570 53.12 0.5057 54.52
890 1.3242 56.25 0.6304 57.29
900 1.2718 53.12 0.4529 54.89
910 1.2825 62.50 0.4489 59.02
920 1.3305 59.38 0.5304 61.50
930 1.1869 56.25 0.5233 59.04
940 1.0599 68.75 0.5925 62.82
950 1.3090 62.50 0.5144 61.20
960 1.3671 53.12 0.4727 60.52
970 1.2333 59.38 0.6983 59.50
980 1.5635 50.00 0.5230 57.28
990 1.2672 59.38 0.4980 59.37
1000 1.3337 53.12 0.4548 60.69
1010 1.0707 62.50 0.4783 59.11
1020 1.1704 68.75 0.5859 59.95
1030 1.2133 56.25 0.5093 59.99
1040 1.3147 50.00 0.5501 55.46
1050 1.2404 62.50 0.5616 57.48
1060 1.3158 53.12 0.5787 56.14
1070 1.3452 53.12 0.5558 57.70
1080 1.1647 59.38 0.4665 60.31
1090 1.7205 37.50 0.6550 59.65
1100 1.3975 53.12 0.5407 58.46
1110 1.2330 50.00 0.5715 55.34
1120 1.1073 68.75 0.5905 57.63
1130 1.0409 59.38 0.4389 61.04
1140 1.2355 56.25 0.5316 58.53
1150 1.1606 56.25 0.4832 51.79
1160 1.0362 65.62 0.5876 54.17
1170 1.1176 65.62 0.5338 57.36
1180 1.3630 53.12 0.5983 61.08
1190 0.9932 71.88 0.5070 58.70
1200 0.9375 71.88 0.4254 58.00
1210 0.9921 59.38 0.4855 58.42
1220 1.1589 59.38 0.7208 57.95
1230 1.1612 56.25 0.4595 57.74
1240 1.2190 53.12 0.5483 58.83
1250 0.9688 56.25 0.5281 58.41
1260 1.0930 62.50 0.5410 60.82
1270 1.4508 50.00 0.5253 60.23
1280 1.1479 59.38 0.7309 59.56
1290 0.7729 78.12 0.5155 58.66
1300 1.3465 59.38 0.5235 60.45
1310 0.9204 75.00 0.5396 61.64
1320 1.6370 43.75 0.6252 58.34
1330 1.4237 46.88 0.4457 56.69
1340 1.0089 68.75 0.5626 57.96
1350 1.0569 65.62 0.5057 61.95
1360 1.3227 43.75 0.5594 58.78
1370 1.4965 46.88 0.5217 57.57
1380 0.9814 71.88 0.5911 61.35
1390 1.0443 62.50 0.5179 61.29
1400 1.4669 46.88 0.4804 60.20
1410 1.1351 62.50 0.5104 57.60
1420 1.2895 59.38 0.6075 56.03
1430 1.4042 46.88 0.5586 56.70
1440 1.9589 37.50 0.6268 57.97
1450 1.0045 65.62 0.4252 59.78
1460 1.2248 62.50 0.5869 60.29
1470 1.1634 59.38 0.4747 63.85
1480 1.2989 56.25 0.3490 59.55
1490 1.2430 59.38 0.5902 57.46
1500 1.2273 53.12 0.6654 57.03
1510 1.2812 56.25 0.7097 58.39
1520 1.3810 53.12 0.4027 59.80
1530 1.1729 56.25 0.4712 55.57
1540 1.1982 50.00 0.5352 59.06
1550 1.1745 62.50 0.3759 57.64
1560 1.2602 56.25 0.5929 55.85
1570 1.3565 53.12 0.5400 57.77
1580 1.3741 59.38 0.7366 59.05
1590 1.2615 50.00 0.5350 58.55
1600 1.0516 65.62 0.5406 55.77
1610 1.3554 53.12 0.4655 55.47
1620 1.0558 65.62 0.5497 61.28
1630 1.5547 50.00 0.5785 59.95
1640 1.1486 68.75 0.5260 58.26
1650 1.3503 50.00 0.5008 57.80
1660 1.1683 59.38 0.6292 57.46
1670 1.3748 62.50 0.5772 56.86
1680 1.2589 50.00 0.5161 59.69
1690 0.9232 62.50 0.4198 60.25
1700 1.3558 53.12 0.4876 60.18
1710 1.3449 59.38 0.5304 61.54
1720 1.0422 68.75 0.5291 60.83
1730 1.3027 50.00 0.4938 59.25
1740 1.0423 68.75 0.5860 57.64
1750 1.2121 59.38 0.5603 58.55
1760 1.4703 53.12 0.6273 61.77
1770 1.2672 59.38 0.7234 60.84
1780 1.4507 46.88 0.6899 62.97
1790 1.0419 68.75 0.5984 59.11
1800 1.2860 62.50 0.5490 57.74
1810 1.0788 56.25 0.4731 57.11
1820 1.2414 50.00 0.5089 56.08
1830 1.2542 46.88 0.6824 61.53
1840 1.2249 53.12 0.4756 57.60
1850 1.1284 59.38 0.5782 58.12
1860 1.1111 62.50 0.4401 57.70
1870 1.2815 59.38 0.3859 57.81
