batch class_loss class_acc conf_loss conf
0 2.3228 6.25 0.6663 47.98
10 2.3212 9.38 0.3761 22.61
20 2.3034 15.62 0.4308 12.89
30 2.2724 25.00 0.6547 11.51
40 2.1674 31.25 0.7468 13.06
50 2.2026 31.25 0.7262 15.75
60 2.2359 15.62 0.4166 19.84
70 2.2333 18.75 0.5086 24.05
80 2.0766 34.38 0.6670 26.49
90 1.9575 34.38 0.6484 29.38
100 1.9172 37.50 0.6575 33.79
110 1.6370 59.38 0.7244 38.85
120 1.7497 53.12 0.7018 40.80
130 1.7418 37.50 0.6574 41.29
140 1.8549 34.38 0.6885 40.96
150 1.5174 43.75 0.6491 41.32
160 1.3826 53.12 0.6325 44.96
170 1.5132 46.88 0.6016 44.86
180 1.5941 53.12 0.6337 46.81
190 1.4209 56.25 0.7323 47.55
200 1.3229 56.25 0.7075 47.95
210 1.7138 40.62 0.7341 47.99
220 1.2685 53.12 0.5920 48.65
230 1.2111 68.75 0.5929 49.96
240 1.5997 37.50 0.5931 47.49
250 1.5471 46.88 0.6118 47.44
260 1.5762 43.75 0.6815 50.21
270 1.5265 56.25 0.6188 49.24
280 1.3788 46.88 0.5315 50.66
290 1.3884 50.00 0.5291 52.40
300 1.6096 46.88 0.6988 54.97
310 1.2731 59.38 0.6326 54.84
320 1.6236 50.00 0.5801 52.81
330 1.3225 53.12 0.5055 50.89
340 1.3391 53.12 0.5632 51.26
350 1.0107 59.38 0.5855 51.71
360 1.2873 53.12 0.5028 53.87
370 0.9590 71.88 0.5012 54.31
380 1.9444 28.12 0.6933 54.61
390 1.3864 50.00 0.5819 51.98
400 1.4364 43.75 0.4726 49.85
410 1.4391 46.88 0.5252 49.52
420 1.1037 56.25 0.6114 49.81
430 1.5444 40.62 0.6286 52.72
440 1.1406 59.38 0.5977 50.18
450 0.9883 68.75 0.6243 53.63
460 1.3143 43.75 0.5201 56.43
470 1.3171 50.00 0.3987 56.01
480 1.6591 43.75 0.6692 55.00
490 1.3360 53.12 0.5630 52.55
500 1.1622 56.25 0.4652 53.83
510 0.9101 75.00 0.6642 52.34
520 1.7387 34.38 0.6045 52.29
530 0.8683 71.88 0.5122 49.99
540 1.5088 53.12 0.5358 52.69
550 1.8644 40.62 0.6551 55.01
560 1.1049 62.50 0.5307 54.70
570 0.8522 71.88 0.5361 53.66
580 1.3379 50.00 0.5447 52.99
590 1.1210 62.50 0.5788 55.87
600 1.3945 46.88 0.6587 56.14
610 1.1262 59.38 0.5652 55.26
620 1.1686 59.38 0.5438 55.85
630 1.3197 56.25 0.4246 58.13
640 1.4272 46.88 0.5482 55.75
650 1.3277 50.00 0.5379 56.09
660 1.2406 50.00 0.4591 54.10
670 1.4730 53.12 0.5173 51.54
680 1.1030 68.75 0.5690 51.29
690 1.4718 59.38 0.6251 55.13
700 1.6381 46.88 0.6495 57.67
710 1.2709 50.00 0.4414 57.50
720 1.2680 56.25 0.4565 55.99
730 1.2244 53.12 0.5851 57.49
740 1.5288 34.38 0.5272 58.18
750 1.0322 71.88 0.5656 57.44
760 1.5438 53.12 0.6228 56.23
770 1.2877 62.50 0.4536 53.62
780 1.0700 62.50 0.5374 54.02
790 1.1263 59.38 0.4456 55.72
800 1.1130 62.50 0.5490 58.81
810 1.3923 59.38 0.4973 61.69
820 1.5912 43.75 0.6841 57.69
830 1.6076 40.62 0.7763 55.73
840 1.2173 53.12 0.5364 52.97
850 1.2086 59.38 0.5185 57.52
860 1.3511 50.00 0.5904 57.45
870 1.6254 40.62 0.5960 56.49
880 1.5591 53.12 0.6225 52.99
890 1.2782 53.12 0.4980 57.30
900 1.0506 65.62 0.5071 57.81
910 1.0708 68.75 0.5318 58.91
920 1.1194 62.50 0.4296 60.95
930 0.9927 68.75 0.5805 59.63
940 1.1553 59.38 0.5730 59.27
950 1.1687 65.62 0.4650 59.71
960 0.8820 84.38 0.5347 59.96
970 1.7884 43.75 0.6461 61.58
980 1.4544 50.00 0.4497 56.37
990 1.2294 62.50 0.5347 54.63
1000 1.2924 59.38 0.5504 53.28
1010 1.0975 62.50 0.5461 57.16
1020 1.1004 62.50 0.5433 59.99
1030 1.4138 46.88 0.4721 56.94
1040 1.2291 59.38 0.5332 54.93
1050 1.0529 65.62 0.5245 55.96
1060 1.0936 62.50 0.5854 58.54
1070 1.4932 53.12 0.5701 61.45
1080 1.3063 53.12 0.5742 58.40
1090 1.3289 50.00 0.5954 59.44
1100 1.1181 71.88 0.5940 54.43
1110 1.1601 65.62 0.5302 55.24
1120 1.2504 50.00 0.5823 60.85
1130 1.0989 62.50 0.5215 59.06
1140 1.2149 56.25 0.4296 58.57
1150 1.3526 56.25 0.6471 55.42
1160 1.2086 65.62 0.5355 51.61
1170 1.3977 53.12 0.4931 56.05
1180 1.4154 50.00 0.6902 58.52
1190 1.2646 53.12 0.5485 58.99
1200 1.2464 50.00 0.5686 59.89
1210 1.1209 65.62 0.5945 60.45
1220 1.0159 56.25 0.4773 59.04
1230 1.2025 62.50 0.4712 54.70
1240 1.3895 53.12 0.5638 57.53
1250 1.5472 59.38 0.5285 59.74
1260 1.5685 43.75 0.5557 58.94
1270 1.0552 71.88 0.6486 57.80
1280 1.3837 50.00 0.5250 59.29
1290 1.3266 53.12 0.6064 58.43
1300 1.1346 68.75 0.5416 56.63
1310 1.3332 43.75 0.5027 57.72
1320 1.2779 53.12 0.5271 58.98
1330 1.4062 53.12 0.6836 60.54
1340 1.0940 68.75 0.4962 59.02
1350 1.2416 53.12 0.4488 57.48
1360 1.4268 53.12 0.5976 56.10
1370 1.2298 56.25 0.5120 59.07
1380 1.0916 62.50 0.6438 61.86
1390 1.0024 65.62 0.5935 60.04
1400 1.3905 50.00 0.6673 57.59
1410 1.2016 59.38 0.5649 57.01
1420 1.1676 56.25 0.5067 60.14
1430 0.9910 68.75 0.4497 58.11
1440 0.9129 65.62 0.6423 60.04
1450 1.0888 53.12 0.6121 59.36
1460 1.0397 53.12 0.5619 62.25
1470 0.9800 56.25 0.4426 63.84
1480 1.4890 46.88 0.5228 60.57
1490 1.4832 46.88 0.5967 59.55
1500 1.1452 62.50 0.4497 55.22
1510 1.2464 56.25 0.5589 60.49
1520 1.1656 62.50 0.4902 57.80
1530 1.6384 43.75 0.6519 57.24
1540 1.3387 46.88 0.5107 57.65
1550 1.0384 68.75 0.4987 56.00
1560 0.9982 62.50 0.4681 61.62
1570 0.9895 65.62 0.4538 62.40
1580 1.2007 59.38 0.3665 56.86
1590 1.3275 53.12 0.6599 60.95
1600 1.1849 56.25 0.5312 63.64
1610 1.2726 56.25 0.4702 61.61
1620 1.2213 53.12 0.4850 62.46
1630 0.9069 68.75 0.4796 60.66
1640 0.9728 68.75 0.5273 59.70
1650 0.9971 62.50 0.5529 60.05
1660 1.0954 71.88 0.4269 58.57
1670 1.2183 62.50 0.5919 62.63
1680 0.8876 75.00 0.6130 59.82
1690 1.0025 68.75 0.4843 55.02
1700 0.8848 65.62 0.4023 61.84
1710 1.3119 59.38 0.6200 62.15
1720 0.9853 65.62 0.4649 61.98
1730 1.1057 59.38 0.4788 62.96
1740 1.1785 65.62 0.5343 61.44
1750 0.9232 78.12 0.5906 61.27
1760 0.7283 75.00 0.4523 63.09
1770 0.7227 75.00 0.4566 61.43
1780 1.2043 59.38 0.4989 63.14
1790 1.4416 59.38 0.7208 61.26
1800 1.3658 59.38 0.5327 58.90
1810 1.2132 56.25 0.4477 58.40
1820 1.2981 53.12 0.5139 62.46
1830 1.0952 68.75 0.4650 57.18
1840 0.9318 71.88 0.5037 63.29
1850 1.5631 37.50 0.5815 59.23
1860 1.4742 46.88 0.4967 57.55
1870 1.1010 68.75 0.4599 57.46
