batch class_loss class_acc conf_loss conf
0 1.1666 50.00 0.4946 65.05
10 1.9990 43.75 0.6876 62.97
20 0.9965 56.25 0.4759 58.36
30 1.4064 53.12 0.4966 59.43
40 1.1793 59.38 0.5558 59.50
50 0.7784 78.12 0.4981 63.05
60 1.2880 56.25 0.5850 63.46
70 1.2377 53.12 0.5377 61.37
80 1.1604 59.38 0.5134 62.85
90 1.1031 62.50 0.6536 59.90
100 1.4464 56.25 0.4865 61.68
110 1.4474 50.00 0.6182 62.64
120 0.7864 78.12 0.4593 59.48
130 0.7336 78.12 0.4871 56.67
140 1.1533 59.38 0.4787 61.22
150 1.1117 59.38 0.3639 61.89
160 1.5020 43.75 0.5036 58.95
170 0.9511 59.38 0.3982 60.84
180 0.9898 65.62 0.4497 64.42
190 1.0930 62.50 0.5001 64.08
200 0.8678 65.62 0.4209 64.28
210 1.3066 59.38 0.4257 58.68
220 1.2789 46.88 0.6103 65.15
230 0.9050 68.75 0.4261 65.18
240 0.8961 68.75 0.5140 62.05
250 1.1169 59.38 0.6058 57.79
260 0.8580 65.62 0.4596 59.74
270 0.7852 78.12 0.5354 61.57
280 1.3428 59.38 0.5352 58.87
290 1.2288 68.75 0.5335 67.12
300 1.1313 53.12 0.4545 64.02
310 1.2190 56.25 0.5829 57.14
320 0.9028 68.75 0.5543 64.52
330 0.8450 75.00 0.4368 64.23
340 1.0247 65.62 0.5245 63.37
350 1.4489 56.25 0.5324 67.16
360 1.2596 56.25 0.4537 63.59
370 1.1989 53.12 0.5828 62.59
380 1.2013 59.38 0.5511 61.49
390 0.6921 78.12 0.3832 61.82
400 0.8756 71.88 0.6138 67.15
410 0.7859 71.88 0.4030 62.80
420 1.2463 59.38 0.5156 65.17
430 1.1085 62.50 0.4526 59.72
440 1.4688 50.00 0.5311 60.54
450 0.8358 68.75 0.5067 59.71
460 1.1850 53.12 0.4689 60.99
470 1.0573 62.50 0.4747 65.91
480 1.1343 62.50 0.4053 65.59
490 0.9664 65.62 0.4722 57.78
500 1.0743 75.00 0.8110 59.13
510 1.1133 65.62 0.4802 63.99
520 1.0244 68.75 0.3962 63.35
530 0.9009 65.62 0.4770 62.54
540 1.1440 68.75 0.5037 67.88
550 1.2677 50.00 0.5182 65.22
560 1.5791 53.12 0.5317 59.55
570 1.0157 65.62 0.5292 61.73
580 1.5012 50.00 0.5167 60.07
590 1.4030 50.00 0.5861 60.68
600 1.2499 50.00 0.6088 63.71
610 0.8809 68.75 0.3141 64.46
620 0.9721 68.75 0.3861 59.38
630 0.9267 68.75 0.5306 64.04
640 0.9314 65.62 0.4006 65.96
650 1.1889 62.50 0.6391 64.13
660 1.4170 40.62 0.7605 62.71
670 1.2911 75.00 0.5907 59.78
680 1.1056 59.38 0.4359 58.38
690 0.8441 68.75 0.4099 63.95
700 1.1860 59.38 0.3420 58.93
710 1.3340 56.25 0.4315 59.29
720 0.9517 71.88 0.3809 60.93
730 1.1835 59.38 0.4254 62.24
740 1.2371 50.00 0.5287 59.98
750 1.0498 62.50 0.4730 61.80
760 1.0844 65.62 0.5099 67.20
770 1.1522 62.50 0.5456 60.97
780 1.4227 56.25 0.5781 61.74
790 1.1525 65.62 0.4265 65.90
800 1.1766 56.25 0.4378 63.58
810 0.9861 62.50 0.5020 60.74
820 1.3488 46.88 0.6568 60.64
830 1.0959 59.38 0.3704 64.65
840 1.1033 68.75 0.4336 63.60
850 1.3817 50.00 0.7392 62.72
860 1.1692 56.25 0.5914 62.64
870 0.9204 71.88 0.5017 59.03
880 1.8173 37.50 0.6404 58.03
890 0.9454 71.88 0.3985 61.59
900 1.3077 50.00 0.6634 62.80
910 1.1994 53.12 0.5666 63.78
920 0.7793 78.12 0.4563 64.12
930 0.9930 68.75 0.4852 63.62
940 0.9986 65.62 0.4964 67.90
950 1.0119 65.62 0.3208 64.74
