batch class_loss class_acc conf_loss conf
0 1.1185 59.38 0.6698 60.38
10 1.0800 59.38 0.5589 61.63
20 1.1229 71.88 0.4991 64.77
30 1.1353 59.38 0.4406 60.64
40 1.0541 59.38 0.4465 63.06
50 1.2045 50.00 0.3703 60.68
60 1.1183 59.38 0.4314 57.47
70 1.1966 43.75 0.5963 64.30
80 1.4021 46.88 0.5096 64.03
90 1.3406 62.50 0.7537 61.70
100 1.0196 68.75 0.5148 60.17
110 1.3528 50.00 0.4593 63.21
120 1.1740 62.50 0.4239 60.86
130 0.9102 62.50 0.4987 61.36
140 0.8224 71.88 0.4731 64.94
150 0.9164 65.62 0.4125 63.19
160 0.7240 81.25 0.4696 65.35
170 0.9743 65.62 0.3561 63.66
180 0.7998 71.88 0.3958 63.74
190 0.9811 62.50 0.3370 66.83
200 0.8389 71.88 0.4122 66.65
210 1.3925 56.25 0.5512 64.87
220 0.7537 78.12 0.4247 61.27
230 1.0191 59.38 0.4695 59.60
240 1.2898 53.12 0.6623 63.10
250 1.2587 50.00 0.5106 60.82
260 1.3591 56.25 0.4867 59.33
270 1.4671 56.25 0.6507 62.99
280 0.7740 71.88 0.4097 59.21
290 1.0627 71.88 0.5855 58.55
300 1.2154 62.50 0.3828 66.14
310 0.9814 56.25 0.3997 64.93
320 1.3935 46.88 0.4939 62.40
330 1.0890 62.50 0.4456 60.02
340 0.7585 71.88 0.4219 62.36
350 1.1514 62.50 0.6605 63.44
360 1.1280 62.50 0.5261 61.67
370 1.2297 59.38 0.5088 61.50
380 1.4208 46.88 0.5034 61.88
390 1.0195 65.62 0.4260 65.80
400 1.8771 37.50 0.8106 62.46
410 1.2824 65.62 0.5735 58.19
420 0.8131 75.00 0.4234 59.45
430 1.1396 56.25 0.4736 63.13
440 0.7791 75.00 0.4349 64.25
450 1.1608 62.50 0.3874 61.75
460 1.1955 56.25 0.4850 60.58
470 1.6014 43.75 0.5000 58.62
480 1.5277 50.00 0.6453 60.50
490 1.1328 65.62 0.4530 61.07
500 1.0164 65.62 0.5668 64.15
510 1.0435 59.38 0.4190 60.67
520 1.0187 62.50 0.4070 62.32
530 1.1001 62.50 0.5436 61.15
540 1.2066 56.25 0.5914 60.35
550 1.1206 65.62 0.4536 63.29
560 1.3132 50.00 0.5401 63.67
570 1.0837 62.50 0.5660 63.59
580 1.1729 59.38 0.6172 66.48
590 0.9695 68.75 0.4124 61.95
600 1.1829 62.50 0.6351 61.39
610 0.8179 78.12 0.5091 56.98
620 1.3802 50.00 0.5372 59.60
630 1.2686 50.00 0.5014 60.57
640 1.4027 46.88 0.5709 63.67
650 1.4402 43.75 0.5714 62.38
660 0.8726 71.88 0.4512 60.62
670 1.5195 53.12 0.5981 67.34
680 1.1195 59.38 0.7022 65.94
690 1.5005 50.00 0.4919 58.32
700 1.1526 56.25 0.5199 58.61
710 1.6480 43.75 0.5273 59.71
720 1.2250 62.50 0.5995 62.19
730 1.4018 53.12 0.4267 59.84
740 1.4342 50.00 0.6119 60.16
750 1.1760 56.25 0.5298 60.30
760 1.3429 56.25 0.5722 64.00
770 1.1663 68.75 0.5265 61.85
780 1.1225 65.62 0.4602 63.16
790 1.2297 62.50 0.4404 64.24
800 1.5231 43.75 0.6683 66.76
810 1.0094 65.62 0.4420 60.47
820 0.8738 62.50 0.4069 61.64
830 1.4744 50.00 0.6479 57.93
840 1.1354 65.62 0.4945 58.70
850 1.1951 65.62 0.4798 62.01
860 0.9775 68.75 0.4095 65.84
870 1.1072 65.62 0.4124 66.23
880 1.2903 53.12 0.5143 63.96
890 1.0484 62.50 0.3915 63.81
900 0.7880 75.00 0.5743 60.97
910 1.5152 59.38 0.5300 61.61
920 0.9173 68.75 0.3759 64.55
930 1.6432 53.12 0.6559 64.96
940 0.9639 68.75 0.4345 60.28
950 1.3567 56.25 0.5461 67.61
960 1.3356 56.25 0.5142 60.20
970 1.1128 65.62 0.4326 60.65
980 0.8337 68.75 0.4530 62.96
990 0.9480 59.38 0.4738 63.55
1000 1.3699 62.50 0.5593 65.05
1010 1.1110 65.62 0.5918 66.62
1020 1.2358 53.12 0.5232 60.29
1030 1.1807 59.38 0.6220 66.01
1040 1.3080 50.00 0.5186 60.44
1050 1.4526 53.12 0.4894 59.32
1060 1.1285 62.50 0.4314 61.11
1070 0.9458 68.75 0.5087 60.21
1080 0.8955 65.62 0.4230 65.61
1090 1.0029 59.38 0.4747 62.87
1100 0.9892 68.75 0.3921 66.48
1110 1.3466 56.25 0.5945 62.52
1120 1.0999 62.50 0.4044 61.18
1130 0.9871 68.75 0.5793 62.30
1140 1.1100 59.38 0.4316 63.02
1150 1.0901 56.25 0.3885 59.37
