batch class_loss class_acc conf_loss conf
0 0.4919 81.25 0.3612 80.85
10 0.6749 65.62 0.4891 80.36
20 0.5223 81.25 0.3564 80.65
30 0.3910 84.38 0.3654 80.55
40 0.4238 81.25 0.2936 77.26
50 0.4743 81.25 0.2728 78.75
60 0.5786 71.88 0.4763 79.59
70 0.5747 84.38 0.4900 80.05
80 0.5261 81.25 0.2792 81.78
90 0.6390 84.38 0.3751 80.60
100 0.5601 71.88 0.3535 82.11
110 0.7109 65.62 0.4383 79.99
120 0.3169 90.62 0.2739 79.59
130 0.5258 78.12 0.4448 80.57
140 0.5010 71.88 0.4029 80.51
150 0.5708 81.25 0.3772 81.20
160 0.2757 93.75 0.2577 79.02
170 0.5461 78.12 0.2570 80.47
180 0.3317 87.50 0.2680 81.60
190 0.3974 84.38 0.3911 81.80
200 0.4609 81.25 0.2821 79.41
210 0.5468 84.38 0.3624 80.87
220 0.4406 90.62 0.3450 80.30
230 0.3679 90.62 0.2649 81.00
240 0.7306 71.88 0.4269 80.29
250 0.5254 78.12 0.4384 82.41
260 0.3293 87.50 0.2612 79.38
270 0.3932 81.25 0.3356 79.85
280 0.3334 87.50 0.3058 78.60
290 0.2994 90.62 0.2573 81.31
300 0.4968 65.62 0.5040 80.51
310 0.4393 81.25 0.3579 81.57
320 0.3742 81.25 0.3527 82.47
330 0.4243 84.38 0.3309 79.28
340 0.6529 75.00 0.4011 80.51
350 0.4311 81.25 0.2867 79.88
360 0.4926 81.25 0.3180 81.17
370 0.7360 78.12 0.4937 81.37
380 0.6561 75.00 0.3879 80.24
390 0.7940 68.75 0.3785 77.45
400 0.4007 84.38 0.4009 79.14
410 0.4234 87.50 0.3203 81.51
420 0.4371 81.25 0.3058 82.38
430 0.5669 84.38 0.5107 80.82
440 0.4543 84.38 0.3594 81.36
450 0.5066 78.12 0.3824 81.69
460 0.5475 81.25 0.2760 82.74
470 0.4375 78.12 0.4573 81.32
480 0.5663 78.12 0.4767 78.44
490 0.5354 81.25 0.3494 82.36
500 0.5963 78.12 0.4303 77.37
510 0.3472 84.38 0.3526 82.60
520 0.4561 81.25 0.3389 79.72
530 0.4096 87.50 0.2772 79.57
540 0.5567 75.00 0.3701 77.74
550 0.6152 71.88 0.4159 79.31
560 0.5023 84.38 0.3249 77.00
570 0.4746 81.25 0.3136 77.51
580 0.6788 75.00 0.4276 79.84
590 0.5976 71.88 0.4504 78.19
600 0.5746 75.00 0.3558 80.75
610 0.6039 75.00 0.4686 79.63
620 0.4986 84.38 0.3816 80.69
630 0.3883 84.38 0.3587 80.82
640 0.3492 78.12 0.2855 80.07
650 0.4510 81.25 0.3285 79.22
660 0.4991 78.12 0.4670 79.84
670 0.6079 78.12 0.4738 78.38
680 0.7922 71.88 0.3855 78.55
690 0.5180 75.00 0.3184 78.48
700 0.6056 75.00 0.3608 76.90
710 0.4547 81.25 0.3091 77.56
720 0.6245 71.88 0.4767 75.62
730 0.9723 56.25 0.7773 82.92
740 0.3768 90.62 0.2240 81.55
750 0.4156 78.12 0.4125 79.25
760 0.4282 78.12 0.5008 80.32
