batch class_loss class_acc conf_loss conf
0 1.1106 71.88 0.6040 62.16
10 1.4287 50.00 0.5217 64.04
20 1.2000 59.38 0.5229 65.25
30 0.7828 75.00 0.4359 60.91
40 0.9067 75.00 0.5244 63.24
50 1.3999 50.00 0.4875 63.06
60 1.0675 59.38 0.3834 65.12
70 1.1919 59.38 0.4639 66.78
80 1.1014 62.50 0.7138 62.52
90 1.1339 65.62 0.4790 60.94
100 1.0043 68.75 0.5823 66.55
110 1.0383 65.62 0.5527 61.70
120 1.1041 65.62 0.6464 65.38
130 0.8847 68.75 0.3926 63.45
140 0.7872 75.00 0.4241 67.08
150 0.6754 81.25 0.4724 63.75
160 1.1816 59.38 0.5358 61.10
170 1.0736 68.75 0.5012 63.73
180 0.8503 68.75 0.5124 62.89
190 1.0838 62.50 0.5008 56.63
200 1.1032 65.62 0.5656 57.90
210 1.1779 56.25 0.4871 60.87
220 1.0585 65.62 0.4566 64.74
230 0.8793 65.62 0.3873 64.05
240 1.3936 59.38 0.5565 65.16
250 1.0495 65.62 0.5462 63.32
260 1.4268 50.00 0.4955 64.81
270 1.3001 62.50 0.5825 60.58
280 1.2250 68.75 0.5040 66.64
290 1.0409 62.50 0.4936 66.40
300 0.9706 62.50 0.4067 63.32
310 1.1489 56.25 0.4181 60.46
320 0.7860 68.75 0.5491 65.49
330 0.9826 59.38 0.4096 64.90
340 1.3415 50.00 0.5747 63.82
350 1.0533 62.50 0.5610 64.37
360 1.1143 62.50 0.4847 60.77
370 1.2352 62.50 0.4044 60.47
380 1.3138 56.25 0.4696 64.79
390 0.8779 71.88 0.4967 67.24
400 1.0459 62.50 0.5459 60.66
410 1.0456 59.38 0.3647 62.39
420 1.1701 59.38 0.4910 56.12
430 1.1212 53.12 0.5335 54.88
440 1.2581 50.00 0.5423 60.64
450 1.2545 53.12 0.4716 60.94
460 0.8056 78.12 0.4472 60.49
470 1.0495 62.50 0.5127 62.47
480 0.8581 75.00 0.5435 64.41
490 0.8851 62.50 0.3525 61.24
500 1.0621 53.12 0.6169 61.58
510 0.8030 78.12 0.4458 59.48
520 1.1075 59.38 0.5369 64.66
530 1.0506 71.88 0.5513 64.44
540 0.9965 65.62 0.7153 65.84
550 1.2707 53.12 0.7177 66.69
560 1.2425 62.50 0.4799 64.01
570 1.0372 62.50 0.2987 61.05
580 0.8011 78.12 0.4947 65.90
590 1.2096 56.25 0.4985 62.34
600 1.0832 59.38 0.4818 64.22
610 0.7969 71.88 0.4501 64.17
620 1.0879 59.38 0.3293 64.45
630 1.1462 59.38 0.6254 64.55
640 1.1845 62.50 0.6803 61.63
650 1.0040 65.62 0.5382 62.25
660 0.9805 68.75 0.5228 58.74
670 1.3132 56.25 0.4089 61.21
680 1.1061 68.75 0.4273 62.95
690 0.8723 62.50 0.4999 63.91
700 1.1823 59.38 0.5224 61.14
710 1.2896 59.38 0.4373 59.19
720 1.0906 68.75 0.5068 69.43
730 1.1407 65.62 0.3944 63.73
740 1.2022 56.25 0.5387 62.58
750 1.1290 53.12 0.4695 64.80
760 1.2761 65.62 0.6672 61.69
770 0.6583 84.38 0.5414 59.93
780 1.0339 68.75 0.4025 60.02
790 0.9549 78.12 0.4765 63.53
800 0.9202 65.62 0.5223 65.82
810 1.1246 75.00 0.6003 63.96
820 1.0563 68.75 0.4266 62.23
830 1.1069 59.38 0.5174 62.14
840 1.2529 53.12 0.8142 62.49
850 1.4122 46.88 0.4830 62.27
860 1.2456 56.25 0.5788 63.14
870 1.1594 65.62 0.5263 58.73
880 1.1252 68.75 0.5800 65.73
890 1.0386 65.62 0.4940 65.72
900 0.9723 62.50 0.3739 62.72
910 0.9823 65.62 0.4029 62.10
920 1.3167 53.12 0.4822 65.09
930 0.9152 68.75 0.4007 64.70
940 0.7147 75.00 0.3683 70.28
950 1.0573 56.25 0.4717 67.65
960 1.1470 62.50 0.5072 57.56
970 0.8361 75.00 0.4014 60.31
980 1.0858 62.50 0.4291 61.72
990 1.1267 59.38 0.5685 62.18
1000 0.9891 62.50 0.4176 59.48
1010 0.8986 65.62 0.5403 60.17
1020 1.2324 46.88 0.6038 65.84
1030 1.1150 62.50 0.4830 61.96
1040 0.8814 75.00 0.4733 61.83
