batch class_loss class_acc conf_loss conf
0 1.1958 59.38 0.5103 59.90
10 1.3597 50.00 0.5571 60.99
20 0.8997 68.75 0.4687 62.76
30 0.9533 71.88 0.4646 64.94
40 0.9845 65.62 0.4608 60.63
50 0.9734 62.50 0.3375 61.20
60 1.4069 56.25 0.6182 61.32
70 1.1412 53.12 0.5519 64.95
80 1.3449 46.88 0.6399 61.75
90 1.3529 50.00 0.5516 60.56
100 1.1253 56.25 0.3785 59.72
110 1.2833 62.50 0.5635 62.51
120 1.0619 65.62 0.4684 62.34
130 0.7277 75.00 0.4271 63.39
140 1.4989 43.75 0.6923 65.53
150 1.1183 53.12 0.3469 57.05
160 0.9809 65.62 0.4884 60.49
170 1.0473 56.25 0.3910 64.11
180 1.2879 56.25 0.5331 65.85
190 1.0341 62.50 0.6076 62.94
200 1.0189 65.62 0.5397 61.52
210 0.8601 65.62 0.4356 62.34
220 1.0436 62.50 0.3717 63.53
230 1.4103 46.88 0.5631 61.92
240 1.1872 62.50 0.4473 59.25
250 1.6145 43.75 0.4471 60.27
260 0.8833 68.75 0.4564 60.89
270 0.8784 68.75 0.3551 60.70
280 1.2234 59.38 0.5101 59.24
290 1.5638 53.12 0.6527 59.06
300 1.0796 65.62 0.4712 57.85
310 1.0210 71.88 0.5017 62.80
320 1.4614 53.12 0.6962 62.20
330 1.0481 65.62 0.5261 66.28
340 1.1050 56.25 0.5522 67.87
350 1.3523 56.25 0.6267 62.43
360 0.9600 75.00 0.5427 61.69
370 1.1181 56.25 0.4866 62.74
380 1.1951 59.38 0.5110 61.78
390 1.0901 65.62 0.4207 64.27
400 0.8007 75.00 0.4569 65.10
410 1.1804 62.50 0.5100 58.75
420 0.9692 68.75 0.5722 60.75
430 1.1725 53.12 0.6223 64.60
440 0.9994 65.62 0.4706 65.08
450 1.1511 62.50 0.6097 61.87
460 1.0744 65.62 0.5423 61.83
470 1.2485 53.12 0.6537 60.87
480 0.9536 68.75 0.5083 59.65
490 1.3365 62.50 0.4876 58.89
500 0.9565 68.75 0.7106 60.24
510 1.3488 56.25 0.7095 62.94
520 1.3312 56.25 0.5214 61.58
530 1.1353 56.25 0.4427 56.46
540 1.2722 50.00 0.3737 54.62
550 1.1119 71.88 0.5099 57.96
560 1.1154 62.50 0.4495 63.07
570 1.1073 65.62 0.6031 64.89
580 1.3565 43.75 0.6455 64.95
590 1.0561 65.62 0.4794 60.44
600 1.5082 53.12 0.5266 60.96
610 1.1632 68.75 0.5896 61.60
620 1.9611 46.88 0.7473 61.96
630 1.1614 56.25 0.4652 58.26
640 1.2171 50.00 0.4088 56.41
650 1.1814 62.50 0.4520 58.58
660 0.7145 78.12 0.3700 64.09
670 1.0139 62.50 0.4574 61.35
680 1.3155 56.25 0.6327 62.65
690 1.3030 40.62 0.5435 60.43
700 1.1321 56.25 0.5282 61.68
710 1.2665 59.38 0.4633 57.91
720 0.9171 71.88 0.4678 58.85
730 1.2249 59.38 0.4955 57.11
740 1.2610 53.12 0.6017 59.90
750 1.3108 50.00 0.4109 60.11
760 1.1403 53.12 0.3486 58.16
770 1.1757 59.38 0.4161 57.50
780 1.0555 65.62 0.4686 60.90
790 0.9699 62.50 0.4010 64.15
800 1.2560 53.12 0.6064 62.00
810 0.8733 65.62 0.4728 59.49
820 1.2496 56.25 0.5270 63.34
830 1.3275 46.88 0.4721 60.78
840 1.3292 59.38 0.5728 59.54
850 1.1759 59.38 0.4648 58.32
860 1.1530 59.38 0.4159 59.77
870 0.9231 71.88 0.4794 61.26
880 1.0182 62.50 0.5270 61.43
890 1.5333 43.75 0.4582 63.06
900 0.9404 71.88 0.6656 62.78
910 1.4696 46.88 0.5926 62.78
920 1.1601 62.50 0.5298 58.11
930 1.3321 46.88 0.5254 60.09
940 1.2838 53.12 0.6404 63.64
950 1.0108 68.75 0.4572 58.87
960 1.1888 53.12 0.5452 60.74
970 0.8940 71.88 0.5017 60.68
980 0.8368 68.75 0.4489 60.94
990 0.9804 68.75 0.4793 61.37
1000 0.9806 65.62 0.4349 61.64
1010 0.9763 59.38 0.4092 61.35
1020 0.9422 62.50 0.4380 60.67
1030 1.2166 59.38 0.6021 62.23
1040 0.9547 68.75 0.4357 63.97
1050 0.9082 56.25 0.5570 61.37
1060 1.1420 62.50 0.5824 62.60
1070 1.4022 59.38 0.6140 60.71
1080 1.1312 75.00 0.5414 64.17
1090 1.1896 56.25 0.4973 59.09
1100 0.9816 68.75 0.5674 59.38
1110 0.9763 68.75 0.3801 61.90
1120 1.0257 59.38 0.3265 62.32
1130 1.3432 53.12 0.5211 65.99
1140 1.2959 50.00 0.4947 61.09
1150 0.8460 68.75 0.5015 62.81
1160 0.7740 78.12 0.4579 61.18
1170 1.0840 59.38 0.5394 59.33
1180 1.1616 56.25 0.4606 58.73
1190 1.1307 65.62 0.4039 61.45
1200 1.1516 59.38 0.3892 61.02
1210 0.9837 65.62 0.5555 65.69
1220 1.3001 53.12 0.6064 62.82
1230 1.2380 50.00 0.5602 65.61
1240 1.1361 68.75 0.5262 63.35
1250 1.1981 59.38 0.4626 60.56
1260 1.0761 53.12 0.6144 60.16
1270 0.9438 71.88 0.5338 61.69
1280 1.6649 50.00 0.5593 64.16
1290 1.3425 50.00 0.4991 61.14
1300 0.9857 68.75 0.5325 60.78
1310 1.0717 62.50 0.4773 61.63
1320 1.3385 62.50 0.5911 64.07
1330 0.9059 68.75 0.3883 64.27
1340 1.7578 43.75 0.5707 59.88
1350 1.2521 59.38 0.5989 59.56
1360 0.7720 71.88 0.3943 60.53
1370 1.4720 53.12 0.6211 60.33
1380 1.1705 59.38 0.4303 58.85
1390 1.3504 50.00 0.5242 62.33
1400 1.2151 53.12 0.4960 61.65
1410 1.0275 71.88 0.5609 64.63
1420 1.4581 43.75 0.4764 59.28
1430 1.4039 53.12 0.5617 60.90
1440 0.9344 62.50 0.2780 61.32
1450 1.1015 68.75 0.4534 62.77
1460 1.3713 56.25 0.6162 67.00
1470 1.2005 62.50 0.4217 59.22
1480 0.8520 65.62 0.5549 63.59
1490 1.3908 56.25 0.6879 64.64
1500 1.0669 71.88 0.4969 63.04
1510 1.1964 59.38 0.4935 63.31
1520 0.8700 71.88 0.4328 61.79
1530 1.1899 53.12 0.4341 60.49
1540 1.2230 59.38 0.5018 59.77
1550 1.3989 43.75 0.5781 59.49
1560 0.9227 78.12 0.5288 66.04
1570 0.9821 68.75 0.4798 61.68
1580 0.8386 65.62 0.5588 65.63
1590 0.8212 68.75 0.6021 63.25
1600 1.0214 59.38 0.4203 60.96
1610 1.1110 53.12 0.5382 60.41
1620 0.9544 68.75 0.5515 59.28
1630 1.0418 62.50 0.4391 61.14
1640 0.9082 68.75 0.4386 63.81
1650 1.1597 62.50 0.4332 63.84
1660 1.3400 62.50 0.5099 60.38
1670 1.4924 46.88 0.6131 61.83
1680 0.9794 62.50 0.5100 59.38
1690 1.3981 53.12 0.5175 60.88
1700 0.8971 68.75 0.4176 63.49
1710 0.9576 62.50 0.4564 59.02
1720 0.9753 62.50 0.3582 62.19
1730 0.8370 71.88 0.5408 63.18
1740 1.0687 53.12 0.4755 62.83
1750 1.4751 53.12 0.6625 64.44
1760 0.7967 75.00 0.4720 64.62
1770 1.1863 62.50 0.4524 67.39
1780 1.0694 62.50 0.5030 64.46
1790 1.3158 65.62 0.6503 64.73
1800 1.2973 62.50 0.6291 62.19
1810 1.0202 65.62 0.4602 61.02
1820 1.0984 65.62 0.5405 59.35
1830 1.1626 65.62 0.3723 61.92
1840 0.7901 78.12 0.4451 64.11
1850 1.1322 62.50 0.4809 64.93
1860 1.3485 50.00 0.6544 66.98
1870 1.4580 62.50 0.5730 60.93
