batch class_loss class_acc conf_loss conf
0 1.3723 59.38 0.7094 55.99
10 1.3326 56.25 0.5633 56.16
20 1.1932 62.50 0.4596 62.58
30 0.7449 75.00 0.3536 63.04
40 1.0878 59.38 0.3211 58.12
50 1.6657 43.75 0.7024 59.01
60 1.1392 59.38 0.3812 60.33
70 0.9394 62.50 0.5223 60.84
80 1.0195 68.75 0.4779 57.49
90 1.1953 59.38 0.4528 62.23
100 1.0911 56.25 0.4995 63.60
110 1.1727 50.00 0.5220 62.80
120 0.9777 68.75 0.4303 61.00
130 1.1533 56.25 0.4580 60.71
140 0.7876 81.25 0.5319 58.83
150 1.0113 56.25 0.5048 64.69
160 1.1368 50.00 0.5534 63.29
170 0.9038 68.75 0.5111 61.03
180 1.1652 62.50 0.5228 59.63
190 0.9567 65.62 0.4419 61.52
200 1.0902 56.25 0.3921 57.99
210 1.1784 53.12 0.4558 55.83
220 1.1783 65.62 0.5467 59.74
230 0.8481 75.00 0.6026 60.61
240 1.1706 65.62 0.5279 64.43
250 1.3769 53.12 0.5222 59.58
260 1.1395 62.50 0.3624 62.10
270 1.2566 62.50 0.5803 62.30
280 0.9300 65.62 0.3858 62.36
290 1.1213 50.00 0.4844 61.69
300 0.9401 65.62 0.3851 60.97
310 1.0987 59.38 0.4744 61.91
320 1.1363 65.62 0.5164 57.92
330 1.3952 50.00 0.7723 62.82
340 1.6068 43.75 0.5270 58.29
350 1.0824 68.75 0.4775 60.05
360 1.0226 59.38 0.4362 59.49
370 0.8214 68.75 0.4967 63.67
380 0.9422 75.00 0.6138 58.34
390 0.9482 62.50 0.4343 61.26
400 1.0338 62.50 0.5929 64.66
410 0.9650 68.75 0.5298 62.35
420 1.3766 46.88 0.4463 64.26
430 1.0570 65.62 0.5304 60.54
440 1.0684 56.25 0.6014 61.21
450 1.1620 62.50 0.3971 58.04
460 1.1579 53.12 0.5232 58.84
470 1.2793 59.38 0.6821 60.03
480 0.9466 68.75 0.4993 61.97
490 0.9981 62.50 0.4726 60.84
500 0.8854 78.12 0.6629 60.34
510 1.2577 53.12 0.4661 58.94
520 1.1631 59.38 0.5636 62.06
530 1.1002 68.75 0.6293 65.05
540 1.3593 53.12 0.6887 64.57
550 1.1597 62.50 0.4658 61.33
560 0.9497 62.50 0.4831 58.37
570 0.9845 68.75 0.4112 59.90
580 1.1321 56.25 0.5812 61.91
590 1.1487 59.38 0.4962 63.02
600 1.5018 46.88 0.6595 62.99
610 1.1510 53.12 0.5697 61.21
620 1.1024 56.25 0.6133 57.24
630 1.2617 65.62 0.5203 55.52
640 1.3120 62.50 0.5092 60.38
650 1.2961 59.38 0.4699 60.26
660 1.4354 50.00 0.6581 60.43
670 1.2354 50.00 0.5489 63.75
680 0.9383 68.75 0.4536 59.75
690 0.7901 68.75 0.4619 64.60
700 0.9543 65.62 0.3949 61.28
710 1.5634 50.00 0.7262 61.40
720 1.0162 65.62 0.4477 64.18
730 0.8647 75.00 0.4855 62.66
740 1.5402 43.75 0.6013 60.25
750 1.2890 56.25 0.4576 60.25
760 0.9710 62.50 0.5643 65.33
770 1.1485 59.38 0.6342 62.22
780 1.2488 50.00 0.6069 63.43
790 1.0265 65.62 0.4660 60.85
800 0.9870 65.62 0.4124 61.39
810 1.2874 46.88 0.4973 57.36
820 1.1098 62.50 0.5355 58.90
830 1.3256 56.25 0.4598 56.89
840 1.6675 53.12 0.5538 61.32
850 0.8731 62.50 0.4964 63.56
860 0.9437 68.75 0.4615 61.62
870 0.9517 62.50 0.3700 62.79
880 0.9918 65.62 0.4573 61.35
890 0.7556 78.12 0.5457 59.90
900 1.3021 65.62 0.6156 65.25
910 1.2528 62.50 0.6473 60.36
920 1.1211 59.38 0.4580 63.24
930 0.9964 75.00 0.5526 64.54
940 0.8878 65.62 0.5244 63.93
950 1.3154 50.00 0.5857 60.35
960 1.2305 56.25 0.6687 57.78
970 1.1125 65.62 0.4168 63.83
980 0.7831 84.38 0.4127 62.79
990 1.2405 68.75 0.6723 65.10
1000 1.1904 56.25 0.6067 62.00
1010 1.1633 59.38 0.5622 61.09
1020 1.2668 56.25 0.5651 58.65
1030 1.1891 62.50 0.5455 60.03
1040 1.2667 56.25 0.6328 65.92
1050 1.0059 65.62 0.5422 61.22
1060 1.1089 68.75 0.5973 59.95
1070 1.2843 59.38 0.5224 62.71
1080 1.2195 62.50 0.4551 62.83
1090 0.8212 75.00 0.4129 63.30
1100 0.9831 71.88 0.5048 65.52
1110 1.0379 71.88 0.5116 64.32
1120 0.9872 65.62 0.4881 62.17
1130 0.8889 71.88 0.3412 66.46
1140 1.1250 56.25 0.5000 64.09
1150 0.9837 62.50 0.4692 60.51
1160 1.3015 50.00 0.5550 60.95
1170 0.8758 75.00 0.4619 61.30
1180 0.9859 68.75 0.5632 63.09
1190 1.3262 50.00 0.6015 64.91
1200 1.1216 71.88 0.5628 61.73
1210 1.1916 56.25 0.4708 65.32
1220 0.8315 75.00 0.4812 66.50
1230 0.9538 59.38 0.4596 61.48
1240 1.1808 56.25 0.4668 63.89
1250 0.9312 71.88 0.4599 63.95
1260 1.3532 62.50 0.5654 61.43
1270 1.3685 53.12 0.3898 60.91
1280 1.2243 59.38 0.4276 60.36
1290 0.8909 71.88 0.4059 59.41
1300 1.4768 46.88 0.4704 58.55
1310 1.1778 53.12 0.7553 58.28
1320 1.1350 56.25 0.5858 53.18
1330 1.1796 59.38 0.6254 56.76
1340 0.8067 75.00 0.4867 59.90
1350 1.0649 62.50 0.4376 61.79
1360 1.2493 56.25 0.4826 65.44
1370 0.9937 65.62 0.4979 61.55
1380 1.3089 50.00 0.6074 57.02
1390 1.1043 65.62 0.4769 57.80
1400 0.9558 75.00 0.5041 62.68
1410 1.2976 56.25 0.6341 64.86
1420 1.3658 43.75 0.7220 63.87
1430 1.3063 50.00 0.5863 67.01
1440 1.0316 65.62 0.4024 59.77
1450 1.1935 59.38 0.4752 62.38
1460 0.9302 68.75 0.4362 58.16
1470 1.1501 71.88 0.6088 61.77
1480 0.7920 75.00 0.3620 67.74
1490 1.0519 65.62 0.4106 65.13
1500 1.1733 68.75 0.6622 62.00
1510 0.8088 75.00 0.4706 65.78
1520 0.8490 78.12 0.4823 63.03
1530 1.2368 65.62 0.5137 58.07
1540 1.0042 65.62 0.4649 63.66
1550 1.0955 62.50 0.4037 62.94
1560 1.1237 62.50 0.5396 59.41
1570 1.3612 50.00 0.5955 59.33
1580 1.4239 50.00 0.6369 63.11
1590 0.8438 71.88 0.5859 67.16
1600 0.9522 59.38 0.3586 64.34
1610 0.7527 75.00 0.4867 65.18
1620 1.0876 68.75 0.5470 60.98
1630 0.9749 62.50 0.4059 62.31
1640 1.3374 53.12 0.4888 61.83
1650 0.7860 78.12 0.4411 59.67
1660 1.4295 53.12 0.4358 59.48
1670 1.2152 50.00 0.7380 60.37
1680 1.1163 59.38 0.6096 54.41
1690 1.0424 75.00 0.6112 60.59
1700 1.5346 50.00 0.5271 61.33
1710 1.5803 43.75 0.5856 62.65
1720 0.8854 68.75 0.5383 59.68
1730 0.9707 68.75 0.5428 56.71
1740 1.1788 62.50 0.5875 61.49
