batch class_loss class_acc conf_loss conf
0 2.3883 0.00 0.7291 49.62
10 2.1043 12.50 0.6027 47.30
20 1.9307 37.50 0.6513 45.45
30 1.7142 50.00 0.6793 44.04
40 1.4492 84.38 0.7719 44.84
50 1.3160 87.50 0.7843 46.20
60 1.3329 65.62 0.6942 47.87
70 1.2101 75.00 0.6546 50.27
80 1.1981 75.00 0.5933 52.91
90 0.9841 84.38 0.5946 54.00
100 1.0231 84.38 0.5762 55.67
110 0.9644 84.38 0.5752 57.59
120 1.1218 71.88 0.4831 57.88
130 0.9090 81.25 0.5103 59.85
140 0.8398 75.00 0.4976 61.41
150 0.8518 78.12 0.4536 63.18
160 0.7129 84.38 0.4757 63.13
170 0.6526 87.50 0.4697 64.56
180 0.8929 68.75 0.4898 66.15
190 0.8802 68.75 0.4291 65.72
200 0.7586 84.38 0.4401 68.20
210 0.7923 71.88 0.4889 67.40
220 0.6699 75.00 0.4202 66.99
230 0.7252 84.38 0.4554 68.07
240 0.5789 87.50 0.4547 68.52
250 0.6997 75.00 0.4558 66.78
260 0.8416 68.75 0.5178 68.97
270 0.4924 90.62 0.3700 69.83
280 0.9370 62.50 0.5777 70.26
290 0.6353 78.12 0.4227 71.18
300 0.6478 68.75 0.4234 71.29
310 0.5948 87.50 0.3746 71.33
320 0.6267 78.12 0.3939 70.65
330 0.7271 78.12 0.4180 71.70
340 0.5680 81.25 0.4062 69.52
350 0.5918 81.25 0.4070 72.04
360 0.8000 68.75 0.5084 72.82
370 0.4190 90.62 0.4041 72.07
380 0.5828 81.25 0.4116 72.89
390 0.6849 75.00 0.5334 69.94
400 0.6883 65.62 0.4506 71.89
410 0.6560 68.75 0.5389 74.03
420 0.6926 84.38 0.3421 74.06
430 0.6705 75.00 0.4078 73.94
440 0.4723 84.38 0.4263 73.74
450 0.6160 78.12 0.4286 74.61
460 0.6392 75.00 0.3799 73.24
470 0.6558 75.00 0.3535 73.27
480 0.6340 71.88 0.5220 74.75
490 0.5171 81.25 0.3249 73.13
500 0.4103 84.38 0.3045 76.88
510 0.6843 68.75 0.3960 74.57
520 0.5084 78.12 0.4359 75.89
530 0.7820 62.50 0.5201 73.52
540 0.5515 75.00 0.3883 73.80
550 0.4349 84.38 0.3069 75.82
560 0.6789 81.25 0.5056 74.32
570 0.5462 84.38 0.4033 76.63
580 0.3664 87.50 0.4126 74.42
590 0.7526 71.88 0.4784 74.82
600 0.6730 81.25 0.4400 74.89
610 1.1550 62.50 0.6042 75.60
620 0.4253 90.62 0.3240 75.89
630 0.7876 68.75 0.4921 74.27
640 0.6616 78.12 0.3957 76.78
650 0.5911 71.88 0.3906 77.82
660 0.3952 84.38 0.3062 76.58
670 0.4813 84.38 0.3467 76.70
680 0.9707 59.38 0.6620 76.12
690 0.5915 81.25 0.4309 76.21
700 0.6689 71.88 0.4381 77.12
710 0.8886 65.62 0.5128 77.10
720 0.6884 71.88 0.4253 76.09
730 0.7120 75.00 0.4442 74.15
