batch class_loss class_acc conf_loss conf
0 0.6550 75.00 0.4045 73.89
10 0.6577 78.12 0.5636 71.79
20 0.5822 81.25 0.3389 75.88
30 0.6792 78.12 0.4871 74.91
40 0.4855 71.88 0.4279 76.16
50 0.7006 75.00 0.3791 73.84
60 0.4789 75.00 0.3153 76.63
70 0.6935 71.88 0.4629 73.78
80 0.6021 78.12 0.5442 70.08
90 0.6988 75.00 0.5999 73.65
100 0.8271 62.50 0.5643 72.50
110 0.6802 75.00 0.6146 72.68
120 0.4993 81.25 0.3969 74.49
130 0.5021 81.25 0.4374 73.65
140 0.5717 81.25 0.3586 71.86
150 0.7428 75.00 0.6410 76.86
160 0.6277 68.75 0.4928 74.19
170 0.6037 75.00 0.4957 74.26
180 0.4653 87.50 0.3627 72.67
190 0.5365 78.12 0.3974 72.29
200 0.5749 78.12 0.4309 74.31
210 0.3236 90.62 0.3275 74.12
220 0.8585 75.00 0.5041 74.91
230 1.0746 53.12 0.7845 76.57
240 0.5553 75.00 0.4992 74.67
250 0.9200 59.38 0.5254 73.64
260 0.4800 78.12 0.4447 76.03
270 0.6680 62.50 0.4778 73.33
280 0.5582 75.00 0.4415 72.96
290 0.6553 65.62 0.3999 71.00
300 0.4896 81.25 0.3471 75.94
310 0.7493 65.62 0.4747 75.93
320 0.7050 71.88 0.3572 74.33
330 0.5755 81.25 0.5174 75.13
340 0.6391 75.00 0.4201 76.93
350 0.7142 71.88 0.4190 73.57
360 0.8408 62.50 0.5089 76.23
370 0.6240 78.12 0.3798 74.71
380 0.6408 71.88 0.5546 75.12
390 0.4412 87.50 0.4016 73.85
400 0.3951 93.75 0.3642 73.51
410 0.7378 71.88 0.4804 72.10
420 0.7607 71.88 0.4484 74.91
430 0.5159 81.25 0.3732 75.84
440 0.7974 65.62 0.4880 73.88
450 0.4950 78.12 0.3171 75.55
460 0.6089 78.12 0.5002 75.50
470 0.6926 71.88 0.5340 72.68
480 0.4874 78.12 0.3507 73.68
490 0.4928 84.38 0.3620 75.41
500 0.5904 75.00 0.3877 75.86
510 0.4828 84.38 0.3229 74.00
520 0.8283 68.75 0.5917 74.08
530 0.7393 65.62 0.5510 73.90
540 0.7342 68.75 0.4519 74.43
550 0.9020 68.75 0.5766 75.27
560 0.6404 81.25 0.4019 74.45
570 0.5200 81.25 0.3599 71.73
580 0.9710 50.00 0.6477 73.59
590 0.7340 65.62 0.5249 74.41
600 0.5148 81.25 0.3929 74.38
610 0.8030 68.75 0.3949 74.51
620 0.6470 78.12 0.4336 74.33
630 0.3484 87.50 0.3566 74.11
640 0.5660 78.12 0.4845 74.83
650 0.7340 75.00 0.4993 74.86
660 1.0328 59.38 0.5884 73.63
670 0.7398 65.62 0.4587 73.58
680 0.6610 68.75 0.3895 73.36
690 0.7649 65.62 0.5505 73.44
700 0.6552 71.88 0.4398 75.38
710 0.7506 68.75 0.5374 76.79
720 0.5740 75.00 0.4199 74.80
