batch class_loss class_acc conf_loss conf
0 0.6891 78.12 0.3678 75.92
10 0.4287 87.50 0.3005 77.92
20 0.8790 65.62 0.5147 76.04
30 0.5877 75.00 0.3457 74.15
40 0.5114 81.25 0.4487 77.42
50 0.7857 71.88 0.4981 73.85
60 0.7644 75.00 0.5268 78.13
70 0.4601 84.38 0.3233 77.61
80 0.4761 81.25 0.4285 77.50
90 0.6588 81.25 0.3875 75.12
100 0.7740 81.25 0.5027 75.37
110 0.7574 68.75 0.5773 72.60
120 0.7337 75.00 0.4163 77.07
130 0.6289 75.00 0.4239 74.90
140 0.8980 71.88 0.5838 77.52
150 0.7188 71.88 0.5400 77.52
160 0.6374 75.00 0.4460 76.63
170 0.4527 81.25 0.3649 76.57
180 0.7081 71.88 0.4555 76.86
190 0.4610 87.50 0.4008 75.74
200 0.4754 81.25 0.4315 78.44
210 0.5523 71.88 0.5096 77.38
220 0.5775 78.12 0.4443 77.25
230 0.4616 81.25 0.4610 78.44
240 0.3819 90.62 0.3571 76.20
250 0.8761 71.88 0.5091 77.79
260 0.4562 84.38 0.3598 77.20
270 0.4230 87.50 0.3082 76.38
280 0.4785 84.38 0.4533 76.01
290 0.7804 71.88 0.5944 76.87
300 0.5190 84.38 0.4531 77.11
310 0.5920 81.25 0.3757 75.12
320 0.5895 81.25 0.3986 78.25
330 0.6015 71.88 0.4814 74.99
340 0.4498 84.38 0.3150 78.35
350 0.4589 81.25 0.2990 76.65
360 0.4145 87.50 0.3605 77.05
370 0.4280 81.25 0.3610 78.66
380 0.4384 84.38 0.2996 76.93
390 0.5335 84.38 0.4283 76.12
400 0.5593 78.12 0.4370 75.79
410 0.5495 75.00 0.3620 78.46
420 0.6081 78.12 0.3450 77.00
430 0.5816 81.25 0.4080 79.17
440 0.5113 81.25 0.4695 77.55
450 0.8089 68.75 0.4974 77.09
460 0.5483 78.12 0.3513 76.93
470 0.9858 59.38 0.6915 80.74
480 0.5246 81.25 0.3709 78.09
490 0.6481 68.75 0.3996 75.41
500 0.5045 81.25 0.3497 79.32
510 0.5278 81.25 0.3862 76.88
520 0.5031 78.12 0.3686 77.41
530 0.7142 84.38 0.4547 77.27
540 0.4307 81.25 0.3232 78.72
550 0.5773 78.12 0.3215 78.31
560 0.4216 87.50 0.3016 77.06
570 0.7426 75.00 0.4699 76.49
580 0.5412 81.25 0.4249 77.25
590 0.4951 78.12 0.3603 77.71
600 0.3745 87.50 0.3050 76.94
610 0.6922 65.62 0.4819 76.25
620 0.5197 78.12 0.3999 77.21
630 0.6052 71.88 0.5131 78.60
640 1.0076 46.88 0.5627 75.07
650 0.7997 62.50 0.6180 75.24
660 0.4680 81.25 0.3530 77.15
670 0.7058 71.88 0.4414 74.71
680 0.4519 87.50 0.3443 76.16
690 0.7673 68.75 0.4436 77.01
700 0.3111 93.75 0.3060 78.02
710 0.5719 71.88 0.4161 75.68
720 0.6285 68.75 0.4727 76.35
730 0.7614 75.00 0.5362 77.82
740 0.7705 71.88 0.4188 77.65
750 0.6254 75.00 0.4153 76.96
760 0.7379 78.12 0.5624 75.23
