batch class_loss class_acc conf_loss conf
0 1.1249 56.25 0.6323 65.08
10 0.9975 59.38 0.4653 62.88
20 1.1107 62.50 0.4075 56.06
30 1.0034 59.38 0.6203 60.06
40 1.0770 68.75 0.4236 58.96
50 1.5361 56.25 0.7352 64.31
60 1.6034 53.12 0.6892 60.52
70 1.2428 59.38 0.5023 62.96
80 0.9315 65.62 0.5707 57.89
90 1.0559 59.38 0.4629 63.67
100 1.1084 65.62 0.4418 64.89
110 1.2228 56.25 0.4091 62.07
120 0.8782 65.62 0.4800 66.82
130 0.9743 65.62 0.5495 66.59
140 0.8304 71.88 0.4399 63.03
150 1.0767 65.62 0.5387 61.64
160 1.0759 62.50 0.4634 62.23
170 1.3396 56.25 0.5654 57.76
180 1.0016 65.62 0.3850 60.47
190 1.0595 59.38 0.3871 61.08
200 1.1265 65.62 0.5071 64.40
210 0.9851 62.50 0.4197 64.26
220 1.0564 65.62 0.4518 61.15
230 1.3427 56.25 0.5378 64.56
240 1.4860 40.62 0.7152 66.09
250 1.3391 56.25 0.5221 60.99
260 1.2887 53.12 0.5702 58.41
270 1.3678 53.12 0.4181 62.29
280 0.9583 65.62 0.3771 64.27
290 1.0282 68.75 0.3783 64.46
300 1.1779 59.38 0.5488 66.34
310 1.2376 62.50 0.5290 64.19
320 1.0659 62.50 0.4872 57.35
330 1.0953 62.50 0.5729 61.90
340 1.3140 62.50 0.5866 61.10
350 0.7465 81.25 0.3987 64.89
360 0.7966 75.00 0.4650 64.73
370 1.0350 62.50 0.4371 63.45
380 1.2661 56.25 0.5759 60.90
390 1.5905 43.75 0.5434 62.51
400 1.2007 59.38 0.5033 62.93
410 0.7160 68.75 0.3769 61.92
420 1.3034 56.25 0.4272 65.48
430 0.9302 71.88 0.5068 64.30
440 0.9785 65.62 0.4533 63.59
450 1.1122 59.38 0.5703 65.44
460 0.9337 68.75 0.5463 67.54
470 1.1028 62.50 0.6463 64.19
480 0.9396 71.88 0.5345 60.61
490 0.7845 65.62 0.4654 60.82
500 1.2918 53.12 0.4875 66.22
510 0.8980 68.75 0.4597 68.71
520 1.4040 56.25 0.6304 63.22
530 1.2508 59.38 0.4424 57.12
540 1.2963 56.25 0.4919 62.14
550 1.5090 43.75 0.5409 60.92
560 1.2771 53.12 0.6306 60.69
570 0.8047 71.88 0.4069 63.55
580 1.1488 65.62 0.4208 64.48
590 1.0829 68.75 0.4920 61.09
600 1.2872 62.50 0.4822 63.72
610 0.9590 68.75 0.4293 65.36
620 1.3397 50.00 0.5658 58.73
630 0.9369 68.75 0.5075 63.79
640 0.8629 75.00 0.3727 64.50
650 1.1619 53.12 0.6269 65.64
660 1.1318 56.25 0.4215 59.07
670 0.8741 75.00 0.4610 61.86
680 1.0281 65.62 0.4974 64.61
690 0.9976 65.62 0.4138 70.89
700 1.1179 68.75 0.4601 66.28
710 0.9013 75.00 0.4372 65.39
720 1.1974 59.38 0.4309 65.17
730 0.7067 71.88 0.3677 60.66
740 0.7464 81.25 0.5838 58.81
750 1.2263 62.50 0.5893 64.03
760 1.3126 56.25 0.4230 60.82
770 1.2712 50.00 0.5762 61.29
780 0.7820 75.00 0.5823 65.08
790 1.3308 56.25 0.3909 64.43
800 1.1682 62.50 0.3844 60.98
810 1.0874 65.62 0.4911 65.56
820 1.4263 53.12 0.5390 62.58
830 1.1530 62.50 0.4418 58.23
840 1.0456 65.62 0.4621 62.25
850 1.0682 59.38 0.3549 63.30
860 1.2411 50.00 0.4752 57.45
870 1.4697 40.62 0.6696 60.40
880 1.0492 75.00 0.5629 55.41
890 1.0969 62.50 0.5441 59.14
900 1.2219 46.88 0.4234 58.59
910 1.2581 56.25 0.4387 60.09
920 1.0973 53.12 0.5372 64.15
930 1.1680 56.25 0.4911 62.37
940 1.0252 56.25 0.4020 59.88
950 0.8419 65.62 0.3108 63.69
960 1.1365 62.50 0.5801 64.75
970 0.9078 71.88 0.3559 64.52
980 1.1378 59.38 0.6599 67.87
990 1.3211 50.00 0.4166 61.92
1000 1.3089 59.38 0.4067 63.32
1010 1.3436 46.88 0.5210 59.57
1020 1.2066 56.25 0.5737 60.44
1030 0.8069 71.88 0.4854 60.02
1040 1.0273 56.25 0.4720 59.99
1050 1.0435 59.38 0.3632 57.84
1060 0.9733 65.62 0.4853 61.74
1070 1.6995 43.75 0.6509 59.83
1080 1.1890 62.50 0.6268 58.91
1090 1.2068 59.38 0.5194 58.49
1100 1.2015 56.25 0.5472 60.88
1110 0.9488 68.75 0.4738 60.79
1120 0.9165 68.75 0.3674 63.64
1130 0.7354 71.88 0.3190 64.49
1140 0.9613 71.88 0.4167 66.33
1150 1.5477 53.12 0.4859 55.09
1160 1.2201 56.25 0.4531 61.10
1170 1.0682 62.50 0.5070 59.55
1180 0.9326 59.38 0.3799 64.68
1190 1.2397 62.50 0.6465 61.44
1200 0.9892 65.62 0.4564 64.37
1210 1.1248 68.75 0.5558 59.32
1220 1.1997 56.25 0.6304 60.98
1230 0.8984 68.75 0.4492 61.65
1240 1.0873 62.50 0.5712 61.42
1250 1.1798 59.38 0.4202 60.90
1260 1.2202 56.25 0.4289 58.33
1270 1.0976 62.50 0.4897 64.14
1280 1.0769 68.75 0.5453 61.03
1290 1.1375 62.50 0.5697 64.05
1300 1.1842 59.38 0.4818 67.90
1310 0.8808 75.00 0.5119 65.53
1320 0.8190 71.88 0.3659 64.21
1330 1.2944 50.00 0.4459 60.50
1340 1.0000 65.62 0.5295 61.02
1350 1.0549 71.88 0.5157 60.24
1360 0.8737 75.00 0.5792 63.91
1370 1.0737 62.50 0.4490 64.36
1380 1.1009 62.50 0.5623 62.69
1390 1.0708 59.38 0.3007 63.47
1400 1.0193 59.38 0.4484 59.45
1410 1.1525 59.38 0.5148 63.35
1420 0.8765 65.62 0.4920 62.54
1430 0.8437 68.75 0.4006 60.59
1440 0.8601 71.88 0.5172 63.10
1450 1.1830 62.50 0.4559 61.55
