batch class_loss class_acc conf_loss conf
0 2.3203 12.50 0.7902 54.53
10 2.3025 6.25 0.4044 28.37
20 2.2768 18.75 0.4546 16.44
30 2.3015 6.25 0.2640 13.03
40 2.2339 18.75 0.4837 13.11
50 2.1788 21.88 0.5955 16.12
60 2.1988 28.12 0.5760 23.21
70 2.0732 34.38 0.6540 27.27
80 2.0560 34.38 0.6376 29.23
90 2.0605 25.00 0.5609 33.49
100 1.6555 53.12 0.7350 36.05
110 1.8835 31.25 0.5467 40.20
120 1.6676 40.62 0.6156 40.37
130 1.9950 25.00 0.6197 42.29
140 1.5636 53.12 0.7044 45.58
150 1.5413 50.00 0.6082 47.07
160 1.9859 21.88 0.5783 48.02
170 1.5287 56.25 0.7304 47.22
180 1.5745 46.88 0.6788 48.16
190 1.5831 40.62 0.6289 49.98
200 1.5783 56.25 0.8225 50.83
210 1.2576 68.75 0.6200 51.03
220 1.4687 53.12 0.5915 52.78
230 1.4402 46.88 0.5703 51.04
240 1.5298 43.75 0.6584 48.06
250 1.3202 50.00 0.5437 46.07
260 1.3503 50.00 0.5523 51.04
270 1.7197 34.38 0.6619 54.54
280 1.2488 53.12 0.6205 50.41
290 1.8503 46.88 0.7341 49.51
300 1.6442 43.75 0.5199 46.79
310 1.1299 59.38 0.5785 47.64
320 1.8993 40.62 0.6315 53.01
330 1.7363 37.50 0.5666 56.62
340 1.3906 50.00 0.5065 54.33
350 1.1094 65.62 0.5539 52.43
360 1.3207 46.88 0.6932 50.17
370 1.3974 46.88 0.5249 52.39
380 1.3370 43.75 0.4939 53.60
390 2.2255 18.75 0.7461 56.99
400 1.7279 40.62 0.5340 52.18
410 1.6460 37.50 0.6580 49.94
420 1.7068 40.62 0.5704 51.52
430 1.5867 50.00 0.6504 50.96
440 1.3525 59.38 0.5977 51.05
450 1.7631 40.62 0.6576 52.54
460 1.5372 56.25 0.5279 52.62
470 1.0421 65.62 0.5266 51.50
480 1.2745 56.25 0.6154 51.33
490 1.7795 43.75 0.7435 55.66
500 0.9701 71.88 0.6099 57.96
510 1.8709 34.38 0.6613 55.11
520 1.3955 43.75 0.5228 51.06
530 1.2933 59.38 0.6384 56.16
540 1.1532 65.62 0.4965 56.40
550 1.3648 46.88 0.5947 55.40
560 1.2610 56.25 0.3886 56.90
570 1.6108 46.88 0.5166 55.45
580 1.1412 62.50 0.5695 56.00
590 1.3719 53.12 0.6234 56.24
600 1.3642 53.12 0.5206 57.60
610 1.7146 50.00 0.8606 54.61
620 1.5066 43.75 0.6533 54.04
630 0.9684 65.62 0.6404 52.16
640 1.4064 46.88 0.5038 51.45
650 1.3282 50.00 0.5491 51.67
660 1.5349 50.00 0.5520 52.90
670 1.1311 62.50 0.4234 57.10
680 1.1099 68.75 0.6009 56.21
690 1.2895 59.38 0.5862 57.14
700 1.1063 68.75 0.5358 55.79
710 1.2848 50.00 0.5536 54.96
720 1.0553 68.75 0.4831 55.08
730 1.4631 56.25 0.5849 58.97
740 1.0549 62.50 0.4725 57.01
750 1.3854 53.12 0.5158 56.92
760 1.2622 56.25 0.6660 59.73
770 1.4345 46.88 0.5937 57.45
780 1.2257 56.25 0.5384 54.29
790 1.1026 56.25 0.4477 58.73
800 1.5318 40.62 0.5946 55.31
810 1.2570 59.38 0.6030 56.69
820 1.3475 59.38 0.5203 54.75
830 0.9823 75.00 0.4717 57.03
840 1.0885 62.50 0.4881 57.03
850 1.3268 53.12 0.6480 59.33
860 1.3700 53.12 0.5384 59.58
870 1.0811 65.62 0.5223 53.16
880 1.4102 56.25 0.7650 58.80
890 1.3804 56.25 0.4639 62.76
900 1.1819 53.12 0.7036 59.94
910 1.3613 53.12 0.6430 57.13
920 1.4121 53.12 0.5514 57.24
930 1.1540 68.75 0.4906 57.47
940 1.3990 50.00 0.6076 57.74
950 1.2764 53.12 0.5274 57.47
960 1.0654 65.62 0.6872 55.08
970 1.3796 62.50 0.6256 55.96
980 1.5311 53.12 0.6530 58.01
990 1.2305 56.25 0.5420 57.73
1000 0.9936 68.75 0.6831 57.61
1010 1.3366 53.12 0.6517 56.03
1020 1.3557 50.00 0.4515 58.72
1030 1.2624 62.50 0.5278 56.62
1040 1.5201 43.75 0.6426 58.71
1050 1.3141 62.50 0.5079 56.40
1060 1.1584 59.38 0.5151 58.90
1070 1.3564 46.88 0.6949 61.29
1080 1.2959 50.00 0.5301 57.47
1090 1.3885 53.12 0.6761 56.97
1100 1.2137 53.12 0.5860 59.78
1110 1.4305 46.88 0.5248 57.01
1120 1.1363 59.38 0.5114 56.36
1130 1.1736 65.62 0.6203 59.59
1140 0.9939 62.50 0.5460 61.73
1150 0.9117 75.00 0.5796 62.49
1160 0.9652 62.50 0.4287 58.65
1170 1.4920 50.00 0.5896 59.30
1180 1.2965 65.62 0.5340 56.74
1190 1.1076 68.75 0.6311 61.09
1200 1.4106 56.25 0.5418 58.87
1210 1.1713 62.50 0.5900 57.46
1220 1.0273 68.75 0.5916 58.34
1230 1.1343 56.25 0.4547 61.82
1240 1.2559 59.38 0.4647 56.83
1250 1.5813 50.00 0.5146 57.86
1260 1.2300 62.50 0.5781 57.74
1270 1.4265 50.00 0.6830 59.27
1280 0.8955 75.00 0.5300 59.19
1290 1.1250 59.38 0.6295 60.01
1300 1.1992 53.12 0.5575 60.92
1310 0.8657 68.75 0.4801 58.16
1320 1.2862 62.50 0.5807 58.01
1330 1.5987 40.62 0.7127 60.21
1340 1.5690 50.00 0.6423 58.88
1350 1.4819 50.00 0.5132 54.03
1360 0.9803 68.75 0.5437 53.95
1370 1.7207 40.62 0.5747 57.20
1380 0.9454 71.88 0.5674 60.27
1390 1.4491 50.00 0.5134 60.52
1400 0.9663 71.88 0.5107 61.45
1410 1.1661 59.38 0.4421 59.96
1420 1.3783 53.12 0.5479 61.10
1430 1.5258 46.88 0.5299 59.53
1440 1.4167 46.88 0.4690 59.51
1450 1.1685 59.38 0.5175 60.32
1460 1.5796 53.12 0.7121 67.36
1470 1.2408 56.25 0.4784 61.27
1480 0.9447 65.62 0.5333 60.41
1490 0.8081 75.00 0.3979 58.23
1500 1.3591 59.38 0.6242 58.74
1510 1.1232 62.50 0.5256 56.84
1520 1.3533 50.00 0.8260 59.06
1530 1.1270 50.00 0.5544 57.71
1540 1.2931 50.00 0.6107 55.77
1550 1.4112 59.38 0.4575 58.39
1560 1.0132 65.62 0.4709 61.95
1570 1.1613 59.38 0.5339 64.19
1580 1.0756 56.25 0.5326 61.33
1590 1.1790 62.50 0.4295 59.01
1600 1.6173 37.50 0.6264 61.10
1610 1.0883 53.12 0.5640 59.26
1620 0.9771 71.88 0.5028 58.24
1630 1.5366 46.88 0.5967 60.32
1640 1.0020 65.62 0.4747 56.58
1650 1.6104 46.88 0.5896 55.62
1660 0.9426 68.75 0.4466 55.70
1670 1.2142 53.12 0.4092 59.41
1680 1.1030 68.75 0.5057 62.02
1690 1.1363 56.25 0.5662 61.30
1700 0.8866 65.62 0.4327 58.83
1710 1.2635 46.88 0.6861 60.10
1720 1.1545 62.50 0.5280 55.71
1730 1.3790 53.12 0.5037 56.42
1740 0.9487 68.75 0.5220 56.95
1750 1.1854 46.88 0.5170 56.73
1760 1.2150 56.25 0.5463 57.63
1770 0.6568 75.00 0.4664 62.24
1780 1.0624 65.62 0.5125 60.87
1790 1.2059 56.25 0.4365 59.68
1800 1.3927 53.12 0.4821 60.00
1810 1.3349 53.12 0.6340 62.79
1820 1.4857 43.75 0.6718 62.40
1830 1.2713 53.12 0.5229 61.34
1840 1.3208 46.88 0.5173 62.81
1850 1.4369 46.88 0.4472 60.73
1860 1.3125 59.38 0.4769 60.12
1870 1.2638 50.00 0.5424 59.14
