batch class_loss class_acc conf_loss conf
0 0.9871 68.75 0.4467 60.40
10 1.1399 65.62 0.5648 59.98
20 1.5620 43.75 0.5296 58.59
30 1.5974 50.00 0.6348 57.62
40 0.9840 68.75 0.5846 63.43
50 1.1834 56.25 0.4268 60.90
60 1.0397 65.62 0.5054 64.45
70 1.0906 59.38 0.4856 59.12
80 1.0840 62.50 0.4617 59.17
90 1.4437 53.12 0.5869 60.17
100 0.9934 65.62 0.4890 58.09
110 1.1908 56.25 0.4493 60.79
120 1.0779 71.88 0.4811 58.66
130 1.2080 56.25 0.3993 59.05
140 0.8482 78.12 0.4996 62.67
150 1.0724 59.38 0.6825 63.45
160 1.0991 59.38 0.6163 62.45
170 1.0090 59.38 0.4789 58.66
180 1.2688 53.12 0.4994 56.44
190 0.9861 56.25 0.4302 57.96
200 1.5173 50.00 0.5790 58.48
210 1.0542 71.88 0.4962 58.63
220 1.0173 65.62 0.5728 60.52
230 1.1965 53.12 0.4362 59.24
240 1.1881 56.25 0.4639 62.79
250 1.0470 62.50 0.4689 58.67
260 0.9390 75.00 0.6199 62.71
270 1.5402 53.12 0.6300 62.31
280 1.3607 53.12 0.5794 61.47
290 1.3264 56.25 0.5435 57.67
300 1.2705 62.50 0.5426 59.39
310 1.0917 62.50 0.6178 64.14
320 1.3940 43.75 0.4440 57.30
330 1.0355 71.88 0.5156 62.91
340 1.0916 62.50 0.4993 61.01
350 1.3058 56.25 0.4971 60.66
360 1.3646 59.38 0.6025 61.15
370 0.7865 81.25 0.4769 59.26
380 1.3492 56.25 0.6501 56.25
390 1.3861 56.25 0.5737 55.76
400 1.1647 53.12 0.4235 57.22
410 0.9657 75.00 0.5786 59.65
420 1.4936 46.88 0.5601 61.15
430 1.5746 46.88 0.5444 59.35
440 1.0123 78.12 0.6974 58.30
450 0.9081 75.00 0.3461 63.12
460 0.8187 68.75 0.4791 61.71
470 1.2064 65.62 0.4024 65.35
480 1.0997 53.12 0.3478 61.21
490 1.0123 68.75 0.3748 61.44
500 1.2121 56.25 0.6011 57.00
510 0.7622 75.00 0.5461 59.64
520 1.3385 56.25 0.4356 61.90
530 1.4960 53.12 0.5783 63.49
540 0.9067 68.75 0.5113 63.07
550 1.2404 59.38 0.6370 59.01
560 1.2343 56.25 0.6856 57.31
570 1.0661 59.38 0.4710 55.32
580 1.0766 65.62 0.5887 60.29
590 0.8736 71.88 0.4126 59.33
600 1.0696 68.75 0.5209 64.73
610 0.9439 65.62 0.4289 59.31
620 1.0020 68.75 0.5898 57.78
630 1.2329 50.00 0.4365 56.83
640 1.1680 50.00 0.5364 58.85
650 1.2661 56.25 0.4169 55.27
660 1.0587 68.75 0.4923 60.02
670 1.3502 59.38 0.5501 59.35
680 1.0923 65.62 0.3954 60.25
690 1.2140 62.50 0.5065 64.00
700 1.3990 50.00 0.5599 63.18
710 1.5740 43.75 0.8056 59.95
720 1.0271 62.50 0.3628 58.08
730 1.0480 62.50 0.4284 59.86
740 1.1040 68.75 0.6605 62.06
750 0.8945 71.88 0.4646 64.57
760 1.6805 43.75 0.6379 62.24
770 1.3616 59.38 0.4787 58.50
780 0.8003 75.00 0.5468 56.55
790 1.4059 53.12 0.5001 59.89
800 1.2776 59.38 0.4497 61.92
810 1.1537 59.38 0.4189 58.05
820 1.0643 62.50 0.5515 61.31
830 1.3391 46.88 0.6666 59.89
840 1.2541 62.50 0.4416 61.03
850 1.0367 65.62 0.4598 54.29
860 1.1017 62.50 0.5928 57.73
870 1.6943 43.75 0.5578 58.80
880 1.2345 62.50 0.7384 63.67
890 0.9993 71.88 0.5103 60.86
900 0.9172 71.88 0.4602 58.15
910 0.9760 68.75 0.4870 59.85
920 1.3368 56.25 0.4699 56.68
930 1.0788 62.50 0.5082 57.51
940 0.6148 84.38 0.4652 63.72
950 1.0855 65.62 0.5434 62.54
960 1.1764 62.50 0.4572 60.94
970 0.9835 68.75 0.4840 61.74
980 1.2239 59.38 0.4626 62.66
