batch class_loss class_acc conf_loss conf
0 2.5281 3.12 0.6239 43.95
10 2.2088 15.62 0.5493 41.88
20 2.0227 25.00 0.5555 41.43
30 1.7510 46.88 0.6805 41.30
40 1.7170 46.88 0.6563 42.47
50 1.4049 68.75 0.7429 44.27
60 1.3186 75.00 0.6898 47.01
70 1.1221 87.50 0.6985 48.85
80 1.1673 81.25 0.6190 50.86
90 1.0671 81.25 0.6389 53.75
100 1.0006 78.12 0.5639 54.23
110 1.2035 56.25 0.5615 55.05
120 1.1470 68.75 0.5247 56.45
130 1.0914 65.62 0.5095 57.25
140 0.9104 75.00 0.5572 59.17
150 0.8853 78.12 0.5274 59.79
160 0.6674 93.75 0.5191 62.15
170 0.7782 71.88 0.5283 63.42
180 0.8030 81.25 0.4694 63.98
190 0.7651 81.25 0.4698 62.96
200 0.8142 75.00 0.4333 65.66
210 0.7050 78.12 0.4664 65.86
220 0.6502 78.12 0.4516 67.47
230 0.6125 78.12 0.3631 68.15
240 0.7873 81.25 0.5790 67.79
250 0.6180 81.25 0.4252 69.21
260 0.8469 75.00 0.4280 68.54
270 0.5599 84.38 0.4001 71.05
280 0.6535 84.38 0.4460 69.99
290 0.6379 81.25 0.4327 71.10
300 0.7653 65.62 0.3822 69.12
310 0.4813 90.62 0.3700 71.35
320 0.8796 59.38 0.5059 68.71
330 0.6088 75.00 0.4234 69.94
340 0.9457 56.25 0.5528 69.52
350 0.6725 68.75 0.4473 71.84
360 0.7749 78.12 0.4646 71.27
370 0.6644 71.88 0.4674 71.30
380 0.6863 71.88 0.4415 70.07
390 0.8134 65.62 0.5402 71.20
400 0.5922 78.12 0.4719 71.37
410 0.5838 84.38 0.4177 70.73
420 0.5069 84.38 0.4299 73.08
430 0.6021 81.25 0.4331 69.83
440 0.9579 62.50 0.4969 71.98
450 0.6239 81.25 0.4189 73.61
460 0.8185 71.88 0.5304 73.10
470 0.6926 71.88 0.4938 71.34
480 0.7075 75.00 0.5765 74.36
490 0.6083 84.38 0.3557 73.50
500 1.0306 62.50 0.4782 72.14
510 0.6322 75.00 0.4866 77.07
520 0.5516 78.12 0.3806 74.80
530 0.7333 68.75 0.3857 73.23
540 0.4491 84.38 0.3973 75.04
550 0.3710 90.62 0.3797 74.90
560 0.6482 75.00 0.5463 77.75
570 0.5105 71.88 0.3234 75.28
580 0.7455 71.88 0.5932 76.69
590 0.5562 81.25 0.4278 72.94
600 0.6161 78.12 0.5078 73.61
610 0.6810 84.38 0.4285 75.68
620 0.5344 78.12 0.4110 75.27
630 0.5772 84.38 0.3816 75.13
640 0.6001 75.00 0.5281 74.63
650 1.0009 62.50 0.4761 74.42
660 0.5091 84.38 0.3220 75.04
670 0.7738 75.00 0.4463 77.04
680 0.6663 65.62 0.4772 74.74
690 0.6261 78.12 0.3390 74.37
700 0.6355 75.00 0.4662 77.35
710 1.0702 59.38 0.4645 75.13
720 0.6123 75.00 0.4171 74.00
730 0.5297 84.38 0.3566 74.28
740 0.4521 90.62 0.3357 73.10
750 0.5704 71.88 0.3484 75.50
